set	piece	slot	bodypart	armorType	from	NG	D	C	B	A	S
Zubei Heavy Set	Zubei's Breastplate Helmet	head	head		B				10463	10467	10472
Zubei Heavy Set	Zubei's Breastplate	chest	chest	HEAVY	B				357	10468	10473
Zubei Heavy Set	Zubei's Breastplate Gaiters	legs	legs	HEAVY	B				10464	10469	10474
Zubei Heavy Set	Zubei's Breastplate Gloves	gloves	gloves		B				10465	10470	10475
Zubei Heavy Set	Zubei's Breastplate Boots	feet	feet		B				10466	10471	10476
Blue Wolf Heavy Set	Blue Wolf Breastplate Helmet	head	head		B				10477	10481	10486
Blue Wolf Heavy Set	Blue Wolf Breastplate	chest	chest	HEAVY	B				358	10482	10487
Blue Wolf Heavy Set	Blue Wolf Breastplate Gaiters	legs	legs	HEAVY	B				10478	10483	10488
Blue Wolf Heavy Set	Blue Wolf Breastplate Gloves	gloves	gloves		B				10479	10484	10489
Blue Wolf Heavy Set	Blue Wolf Breastplate Boots	feet	feet		B				10480	10485	10490
Shining Dragon Set	Shining Dragon Armor Helmet	head	head		B				10491	10494	10498
Shining Dragon Set	Shining Dragon Armor	chest	fullarmor	HEAVY	B				359	10495	10499
Shining Dragon Set	Shining Dragon Armor Gloves	gloves	gloves		B				10492	10496	10500
Shining Dragon Set	Shining Dragon Armor Boots	feet	feet		B				10493	10497	10501
Armor of Victory Set	Armor of Victory Helmet	head	head		B				10502	10506	10511
Armor of Victory Set	Armor of Victory	chest	chest	HEAVY	B				360	10507	10512
Armor of Victory Set	Armor of Victory Gaiters	legs	legs	HEAVY	B				10503	10508	10513
Armor of Victory Set	Armor of Victory Gloves	gloves	gloves		B				10504	10509	10514
Armor of Victory Set	Armor of Victory Boots	feet	feet		B				10505	10510	10515
Breastplate of Valor Set	Breastplate of Valor Helmet	head	head		B				10516	10520	10525
Breastplate of Valor Set	Breastplate of Valor	chest	chest	HEAVY	B				361	10521	10526
Breastplate of Valor Set	Breastplate of Valor Gaiters	legs	legs	HEAVY	B				10517	10522	10527
Breastplate of Valor Set	Breastplate of Valor Gloves	gloves	gloves		B				10518	10523	10528
Breastplate of Valor Set	Breastplate of Valor Boots	feet	feet		B				10519	10524	10529
Glorious Set	Glorious Armor Helmet	head	head		B				10530	10533	10537
Glorious Set	Glorious Armor	chest	fullarmor	HEAVY	B				362	10534	10538
Glorious Set	Glorious Armor Gloves	gloves	gloves		B				10531	10535	10539
Glorious Set	Glorious Armor Boots	feet	feet		B				10532	10536	10540
Red Flame Set	Red Flame Armor Helmet	head	head		B				10541	10544	10548
Red Flame Set	Red Flame Armor	chest	fullarmor	HEAVY	B				363	10545	10549
Red Flame Set	Red Flame Armor Gloves	gloves	gloves		B				10542	10546	10550
Red Flame Set	Red Flame Armor Boots	feet	feet		B				10543	10547	10551
Elven Crystal Set	Elven Crystal Breastplate Helmet	head	head		B				10552	10556	10561
Elven Crystal Set	Elven Crystal Breastplate	chest	chest	HEAVY	B				364	10557	10562
Elven Crystal Set	Elven Crystal Breastplate Gaiters	legs	legs	HEAVY	B				10553	10558	10563
Elven Crystal Set	Elven Crystal Breastplate Gloves	gloves	gloves		B				10554	10559	10564
Elven Crystal Set	Elven Crystal Breastplate Boots	feet	feet		B				10555	10560	10565
Dark Crystal Heavy Set	Dark Crystal Breastplate Helmet	head	head		A					10566	10570
Dark Crystal Heavy Set	Dark Crystal Breastplate	chest	chest	HEAVY	A					365	10571
Dark Crystal Heavy Set	Dark Crystal Breastplate Gaiters	legs	legs	HEAVY	A					10567	10572
Dark Crystal Heavy Set	Dark Crystal Breastplate Gloves	gloves	gloves		A					10568	10573
Dark Crystal Heavy Set	Dark Crystal Breastplate Boots	feet	feet		A					10569	10574
Implosion Set	Implosion Armor Helmet	head	head		B				10575	10578	10582
Implosion Set	Implosion Armor	chest	fullarmor	HEAVY	B				366	10579	10583
Implosion Set	Implosion Armor Gloves	gloves	gloves		B				10576	10580	10584
Implosion Set	Implosion Armor Boots	feet	feet		B				10577	10581	10585
Dark Dragon Set	Dark Dragon Armor Helmet	head	head		B				10586	10589	10593
Dark Dragon Set	Dark Dragon Armor	chest	fullarmor	HEAVY	B				367	10590	10594
Dark Dragon Set	Dark Dragon Armor Gloves	gloves	gloves		B				10587	10591	10595
Dark Dragon Set	Dark Dragon Armor Boots	feet	feet		B				10588	10592	10596
Elven Vagian Set	Elven Vagian Armor Helmet	head	head		B				10597	10600	10604
Elven Vagian Set	Elven Vagian Armor	chest	fullarmor	HEAVY	B				368	10601	10605
Elven Vagian Set	Elven Vagian Armor Gloves	gloves	gloves		B				10598	10602	10606
Elven Vagian Set	Elven Vagian Armor Boots	feet	feet		B				10599	10603	10607
Dark Vagian Set	Dark Vagian Armor Helmet	head	head		B				10608	10611	10615
Dark Vagian Set	Dark Vagian Armor	chest	fullarmor	HEAVY	B				369	10612	10616
Dark Vagian Set	Dark Vagian Armor Gloves	gloves	gloves		B				10609	10613	10617
Dark Vagian Set	Dark Vagian Armor Boots	feet	feet		B				10610	10614	10618
Complete Set of Plate Set	Complete Set of Plate Armor Helmet	head	head		B				10619	10622	10626
Complete Set of Plate Set	Complete Set of Plate Armor	chest	fullarmor	HEAVY	B				370	10623	10627
Complete Set of Plate Set	Complete Set of Plate Armor Gloves	gloves	gloves		B				10620	10624	10628
Complete Set of Plate Set	Complete Set of Plate Armor Boots	feet	feet		B				10621	10625	10629
Hell Set	Hell Plate Helmet	head	head		B				10630	10633	10637
Hell Set	Hell Plate	chest	fullarmor	HEAVY	B				371	10634	10638
Hell Set	Hell Plate Gloves	gloves	gloves		B				10631	10635	10639
Hell Set	Hell Plate Boots	feet	feet		B				10632	10636	10640
Art of Set	Art of Plate Helmet	head	head		B				10641	10644	10648
Art of Set	Art of Plate	chest	fullarmor	HEAVY	B				372	10645	10649
Art of Set	Art of Plate Gloves	gloves	gloves		B				10642	10646	10650
Art of Set	Art of Plate Boots	feet	feet		B				10643	10647	10651
Masterpiece Set	Masterpiece Armor Helmet	head	head		B				10652	10655	10659
Masterpiece Set	Masterpiece Armor	chest	fullarmor	HEAVY	B				373	10656	10660
Masterpiece Set	Masterpiece Armor Gloves	gloves	gloves		B				10653	10657	10661
Masterpiece Set	Masterpiece Armor Boots	feet	feet		B				10654	10658	10662
Nightmare Heavy Set	Armor of Nightmare Helmet	head	head		A					10663	10666
Nightmare Heavy Set	Armor of Nightmare	chest	fullarmor	HEAVY	A					374	10667
Nightmare Heavy Set	Armor of Nightmare Gloves	gloves	gloves		A					10664	10668
Nightmare Heavy Set	Armor of Nightmare Boots	feet	feet		A					10665	10669
Dragon Scale Set	Dragon Scale Mail Helmet	head	head		S						10670
Dragon Scale Set	Dragon Scale Mail	chest	chest	HEAVY	S						375
Dragon Scale Set	Dragon Scale Mail Gaiters	legs	legs	HEAVY	S						10671
Dragon Scale Set	Dragon Scale Mail Gloves	gloves	gloves		S						10672
Dragon Scale Set	Dragon Scale Mail Boots	feet	feet		S						10673
Cotton Shirt Set	Cotton Shirt Helmet	head	head		NG	10674	10678	10683	10688	10693	10698
Cotton Shirt Set	Cotton Shirt	chest	chest	LIGHT	NG	390	10679	10684	10689	10694	10699
Cotton Shirt Set	Cotton Shirt Gaiters	legs	legs	LIGHT	NG	10675	10680	10685	10690	10695	10700
Cotton Shirt Set	Cotton Shirt Gloves	gloves	gloves		NG	10676	10681	10686	10691	10696	10701
Cotton Shirt Set	Cotton Shirt Boots	feet	feet		NG	10677	10682	10687	10692	10697	10702
Puma Skin Set	Puma Skin Shirt Helmet	head	head		D		10703	10707	10712	10717	10722
Puma Skin Set	Puma Skin Shirt	chest	chest	LIGHT	D		391	10708	10713	10718	10723
Puma Skin Set	Puma Skin Shirt Gaiters	legs	legs	LIGHT	D		10704	10709	10714	10719	10724
Puma Skin Set	Puma Skin Shirt Gloves	gloves	gloves		D		10705	10710	10715	10720	10725
Puma Skin Set	Puma Skin Shirt Boots	feet	feet		D		10706	10711	10716	10721	10726
Lion Skin Set	Lion Skin Shirt Helmet	head	head		D		10727	10731	10736	10741	10746
Lion Skin Set	Lion Skin Shirt	chest	chest	LIGHT	D		392	10732	10737	10742	10747
Lion Skin Set	Lion Skin Shirt Gaiters	legs	legs	LIGHT	D		10728	10733	10738	10743	10748
Lion Skin Set	Lion Skin Shirt Gloves	gloves	gloves		D		10729	10734	10739	10744	10749
Lion Skin Set	Lion Skin Shirt Boots	feet	feet		D		10730	10735	10740	10745	10750
Mithril Banded Set	Mithril Banded Mail Helmet	head	head		D		10751	10755	10760	10765	10770
Mithril Banded Set	Mithril Banded Mail	chest	chest	LIGHT	D		393	10756	10761	10766	10771
Mithril Banded Set	Mithril Banded Mail Gaiters	legs	legs	LIGHT	D		10752	10757	10762	10767	10772
Mithril Banded Set	Mithril Banded Mail Gloves	gloves	gloves		D		10753	10758	10763	10768	10773
Mithril Banded Set	Mithril Banded Mail Boots	feet	feet		D		10754	10759	10764	10769	10774
Reinforced Leather Set	Reinforced Leather Shirt Helmet	head	head		D		10775	10779	10784	10789	10794
Reinforced Leather Set	Reinforced Leather Shirt	chest	chest	LIGHT	D		394	10780	10785	10790	10795
Reinforced Leather Set	Reinforced Leather Shirt Gaiters	legs	legs	LIGHT	D		10776	10781	10786	10791	10796
Reinforced Leather Set	Reinforced Leather Shirt Gloves	gloves	gloves		D		10777	10782	10787	10792	10797
Reinforced Leather Set	Reinforced Leather Shirt Boots	feet	feet		D		10778	10783	10788	10793	10798
Manticore Skin Set	Manticore Skin Shirt Helmet	head	head		D		10799	10803	10808	10813	10818
Manticore Skin Set	Manticore Skin Shirt	chest	chest	LIGHT	D		395	10804	10809	10814	10819
Manticore Skin Set	Manticore Skin Shirt Gaiters	legs	legs	LIGHT	D		10800	10805	10810	10815	10820
Manticore Skin Set	Manticore Skin Shirt Gloves	gloves	gloves		D		10801	10806	10811	10816	10821
Manticore Skin Set	Manticore Skin Shirt Boots	feet	feet		D		10802	10807	10812	10817	10822
Salamander Skin Set	Salamander Skin Mail Helmet	head	head		D		10823	10826	10830	10834	10838
Salamander Skin Set	Salamander Skin Mail	chest	fullarmor	LIGHT	D		396	10827	10831	10835	10839
Salamander Skin Set	Salamander Skin Mail Gloves	gloves	gloves		D		10824	10828	10832	10836	10840
Salamander Skin Set	Salamander Skin Mail Boots	feet	feet		D		10825	10829	10833	10837	10841
Mithril Light Set	Mithril Shirt Helmet	head	head		C			10842	10846	10851	10856
Mithril Light Set	Mithril Shirt	chest	chest	LIGHT	C			397	10847	10852	10857
Mithril Light Set	Mithril Shirt Gaiters	legs	legs	LIGHT	C			10843	10848	10853	10858
Mithril Light Set	Mithril Shirt Gloves	gloves	gloves		C			10844	10849	10854	10859
Mithril Light Set	Mithril Shirt Boots	feet	feet		C			10845	10850	10855	10860
Plated Leather Set	Plated Leather Helmet	head	head		C			10861	10865	10870	10875
Plated Leather Set	Plated Leather	chest	chest	LIGHT	C			398	10866	10871	10876
Plated Leather Set	Plated Leather Gaiters	legs	legs	LIGHT	C			10862	10867	10872	10877
Plated Leather Set	Plated Leather Gloves	gloves	gloves		C			10863	10868	10873	10878
Plated Leather Set	Plated Leather Boots	feet	feet		C			10864	10869	10874	10879
Rind Leather Set	Rind Leather Armor Helmet	head	head		C			10880	10884	10889	10894
Rind Leather Set	Rind Leather Armor	chest	chest	LIGHT	C			399	10885	10890	10895
Rind Leather Set	Rind Leather Armor Gaiters	legs	legs	LIGHT	C			10881	10886	10891	10896
Rind Leather Set	Rind Leather Armor Gloves	gloves	gloves		C			10882	10887	10892	10897
Rind Leather Set	Rind Leather Armor Boots	feet	feet		C			10883	10888	10893	10898
Theca Leather Set	Theca Leather Armor Helmet	head	head		C			10899	10903	10908	10913
Theca Leather Set	Theca Leather Armor	chest	chest	LIGHT	C			400	10904	10909	10914
Theca Leather Set	Theca Leather Armor Gaiters	legs	legs	LIGHT	C			10900	10905	10910	10915
Theca Leather Set	Theca Leather Armor Gloves	gloves	gloves		C			10901	10906	10911	10916
Theca Leather Set	Theca Leather Armor Boots	feet	feet		C			10902	10907	10912	10917
Drake Leather Set	Drake Leather Armor Helmet	head	head		C			10918	10921	10925	10929
Drake Leather Set	Drake Leather Armor	chest	fullarmor	LIGHT	C			401	10922	10926	10930
Drake Leather Set	Drake Leather Armor Gloves	gloves	gloves		C			10919	10923	10927	10931
Drake Leather Set	Drake Leather Armor Boots	feet	feet		C			10920	10924	10928	10932
Chain Mail of Silence Set	Chain Mail of Silence Helmet	head	head		B				10933	10936	10940
Chain Mail of Silence Set	Chain Mail of Silence	chest	fullarmor	LIGHT	B				402	10937	10941
Chain Mail of Silence Set	Chain Mail of Silence Gloves	gloves	gloves		B				10934	10938	10942
Chain Mail of Silence Set	Chain Mail of Silence Boots	feet	feet		B				10935	10939	10943
Gust Chain Set	Gust Chain Mail Helmet	head	head		B				10944	10947	10951
Gust Chain Set	Gust Chain Mail	chest	fullarmor	LIGHT	B				403	10948	10952
Gust Chain Set	Gust Chain Mail Gloves	gloves	gloves		B				10945	10949	10953
Gust Chain Set	Gust Chain Mail Boots	feet	feet		B				10946	10950	10954
Prairie Leather Set	Prairie Leather Armor Helmet	head	head		B				10955	10959	10964
Prairie Leather Set	Prairie Leather Armor	chest	chest	LIGHT	B				404	10960	10965
Prairie Leather Set	Prairie Leather Armor Gaiters	legs	legs	LIGHT	B				10956	10961	10966
Prairie Leather Set	Prairie Leather Armor Gloves	gloves	gloves		B				10957	10962	10967
Prairie Leather Set	Prairie Leather Armor Boots	feet	feet		B				10958	10963	10968
Leather Armor of The Underworld Set	Leather Armor of The Underworld Helmet	head	head		B				10969	10973	10978
Leather Armor of The Underworld Set	Leather Armor of The Underworld	chest	chest	LIGHT	B				405	10974	10979
Leather Armor of The Underworld Set	Leather Armor of The Underworld Gaiters	legs	legs	LIGHT	B				10970	10975	10980
Leather Armor of The Underworld Set	Leather Armor of The Underworld Gloves	gloves	gloves		B				10971	10976	10981
Leather Armor of The Underworld Set	Leather Armor of The Underworld Boots	feet	feet		B				10972	10977	10982
Leather Suit of Concentration Set	Leather Suit of Concentration Helmet	head	head		B				10983	10986	10990
Leather Suit of Concentration Set	Leather Suit of Concentration	chest	fullarmor	LIGHT	B				406	10987	10991
Leather Suit of Concentration Set	Leather Suit of Concentration Gloves	gloves	gloves		B				10984	10988	10992
Leather Suit of Concentration Set	Leather Suit of Concentration Boots	feet	feet		B				10985	10989	10993
Ace's Leather Set	Ace's Leather Armor Helmet	head	head		B				10994	10997	11001
Ace's Leather Set	Ace's Leather Armor	chest	fullarmor	LIGHT	B				407	10998	11002
Ace's Leather Set	Ace's Leather Armor Gloves	gloves	gloves		B				10995	10999	11003
Ace's Leather Set	Ace's Leather Armor Boots	feet	feet		B				10996	11000	11004
Guardian's Leather Set	Guardian's Leather Armor Helmet	head	head		B				11005	11009	11014
Guardian's Leather Set	Guardian's Leather Armor	chest	chest	LIGHT	B				408	11010	11015
Guardian's Leather Set	Guardian's Leather Armor Gaiters	legs	legs	LIGHT	B				11006	11011	11016
Guardian's Leather Set	Guardian's Leather Armor Gloves	gloves	gloves		B				11007	11012	11017
Guardian's Leather Set	Guardian's Leather Armor Boots	feet	feet		B				11008	11013	11018
Marksman's Leather Set	Marksman's Leather Armor Helmet	head	head		B				11019	11023	11028
Marksman's Leather Set	Marksman's Leather Armor	chest	chest	LIGHT	B				409	11024	11029
Marksman's Leather Set	Marksman's Leather Armor Gaiters	legs	legs	LIGHT	B				11020	11025	11030
Marksman's Leather Set	Marksman's Leather Armor Gloves	gloves	gloves		B				11021	11026	11031
Marksman's Leather Set	Marksman's Leather Armor Boots	feet	feet		B				11022	11027	11032
Unicorn Leather Set	Unicorn Leather Armor Helmet	head	head		A					11033	11036
Unicorn Leather Set	Unicorn Leather Armor	chest	fullarmor	LIGHT	A					410	11037
Unicorn Leather Set	Unicorn Leather Armor Gloves	gloves	gloves		A					11034	11038
Unicorn Leather Set	Unicorn Leather Armor Boots	feet	feet		A					11035	11039
Dragon Leather Set	Dragon Leather Armor Helmet	head	head		S						11040
Dragon Leather Set	Dragon Leather Armor	chest	fullarmor	LIGHT	S						411
Dragon Leather Set	Dragon Leather Armor Gloves	gloves	gloves		S						11041
Dragon Leather Set	Dragon Leather Armor Boots	feet	feet		S						11042
Tunic Set	Tunic Helmet	head	head		NG	11043	11047	11052	11057	11062	11067
Tunic Set	Tunic	chest	chest	MAGIC	NG	426	11048	11053	11058	11063	11068
Tunic Set	Tunic Stockings	legs	legs	MAGIC	NG	11044	11049	11054	11059	11064	11069
Tunic Set	Tunic Gloves	gloves	gloves		NG	11045	11050	11055	11060	11065	11070
Tunic Set	Tunic Boots	feet	feet		NG	11046	11051	11056	11061	11066	11071
Feriotic Set	Feriotic Tunic Helmet	head	head		NG	11072	11076	11081	11086	11091	11096
Feriotic Set	Feriotic Tunic	chest	chest	MAGIC	NG	428	11077	11082	11087	11092	11097
Feriotic Set	Feriotic Tunic Stockings	legs	legs	MAGIC	NG	11073	11078	11083	11088	11093	11098
Feriotic Set	Feriotic Tunic Gloves	gloves	gloves		NG	11074	11079	11084	11089	11094	11099
Feriotic Set	Feriotic Tunic Boots	feet	feet		NG	11075	11080	11085	11090	11095	11100
Leather Tunic Set	Leather Tunic Helmet	head	head		NG	11101	11105	11110	11115	11120	11125
Leather Tunic Set	Leather Tunic	chest	chest	MAGIC	NG	429	11106	11111	11116	11121	11126
Leather Tunic Set	Leather Tunic Stockings	legs	legs	MAGIC	NG	11102	11107	11112	11117	11122	11127
Leather Tunic Set	Leather Tunic Gloves	gloves	gloves		NG	11103	11108	11113	11118	11123	11128
Leather Tunic Set	Leather Tunic Boots	feet	feet		NG	11104	11109	11114	11119	11124	11129
Cursed Set	Cursed Tunic Helmet	head	head		D		11130	11134	11139	11144	11149
Cursed Set	Cursed Tunic	chest	chest	MAGIC	D		432	11135	11140	11145	11150
Cursed Set	Cursed Tunic Stockings	legs	legs	MAGIC	D		11131	11136	11141	11146	11151
Cursed Set	Cursed Tunic Gloves	gloves	gloves		D		11132	11137	11142	11147	11152
Cursed Set	Cursed Tunic Boots	feet	feet		D		11133	11138	11143	11148	11153
Elven Set	Elven Tunic Helmet	head	head		D		11154	11158	11163	11168	11173
Elven Set	Elven Tunic	chest	chest	MAGIC	D		433	11159	11164	11169	11174
Elven Set	Elven Tunic Stockings	legs	legs	MAGIC	D		11155	11160	11165	11170	11175
Elven Set	Elven Tunic Gloves	gloves	gloves		D		11156	11161	11166	11171	11176
Elven Set	Elven Tunic Boots	feet	feet		D		11157	11162	11167	11172	11177
White Set	White Tunic Helmet	head	head		D		11178	11182	11187	11192	11197
White Set	White Tunic	chest	chest	MAGIC	D		434	11183	11188	11193	11198
White Set	White Tunic Stockings	legs	legs	MAGIC	D		11179	11184	11189	11194	11199
White Set	White Tunic Gloves	gloves	gloves		D		11180	11185	11190	11195	11200
White Set	White Tunic Boots	feet	feet		D		11181	11186	11191	11196	11201
