id	donor	grade	gradeIdx	pdef	name	addName	mode	clearDesc
10047	1129	B	3	45	Leather Shirt Boots		add	0
10048	2416	A	4	73	Leather Shirt Helmet		add	0
10049	22	A	4	136	Leather Shirt		add	0
10050	29	A	4	84	Leather Shirt Gaiters		add	0
10051	1119	A	4	49	Leather Shirt Gloves		add	0
10052	1129	A	4	49	Leather Shirt Boots		add	0
10053	2416	S	5	83	Leather Shirt Helmet		add	0
10054	22	S	5	153	Leather Shirt		add	0
10055	29	S	5	96	Leather Shirt Gaiters		add	0
10056	1119	S	5	55	Leather Shirt Gloves		add	0
10057	1129	S	5	55	Leather Shirt Boots		add	0
10058	2416	NG	0	26	Wooden Breastplate Helmet		add	0
23	23	NG	0	53	Wooden Breastplate		update	0
10059	2386	NG	0	33	Wooden Breastplate Gaiters		add	0
10060	49	NG	0	20	Wooden Breastplate Gloves		add	0
10061	37	NG	0	20	Wooden Breastplate Boots		add	0
10062	2416	D	1	44	Wooden Breastplate Helmet		add	0
10063	23	D	1	77	Wooden Breastplate		add	0
10064	2386	D	1	48	Wooden Breastplate Gaiters		add	0
10065	49	D	1	29	Wooden Breastplate Gloves		add	0
10066	37	D	1	29	Wooden Breastplate Boots		add	0
10067	2416	C	2	58	Wooden Breastplate Helmet		add	0
10068	23	C	2	110	Wooden Breastplate		add	0
10069	2386	C	2	69	Wooden Breastplate Gaiters		add	0
10070	49	C	2	39	Wooden Breastplate Gloves		add	0
10071	37	C	2	39	Wooden Breastplate Boots		add	0
10072	2416	B	3	67	Wooden Breastplate Helmet		add	0
10073	23	B	3	124	Wooden Breastplate		add	0
10074	2386	B	3	78	Wooden Breastplate Gaiters		add	0
10075	49	B	3	44	Wooden Breastplate Gloves		add	0
10076	37	B	3	45	Wooden Breastplate Boots		add	0
10077	2416	A	4	73	Wooden Breastplate Helmet		add	0
10078	23	A	4	136	Wooden Breastplate		add	0
10079	2386	A	4	84	Wooden Breastplate Gaiters		add	0
10080	49	A	4	49	Wooden Breastplate Gloves		add	0
10081	37	A	4	49	Wooden Breastplate Boots		add	0
10082	2416	S	5	83	Wooden Breastplate Helmet		add	0
10083	23	S	5	153	Wooden Breastplate		add	0
10084	2386	S	5	96	Wooden Breastplate Gaiters		add	0
10085	49	S	5	55	Wooden Breastplate Gloves		add	0
10086	37	S	5	55	Wooden Breastplate Boots		add	0
10087	2416	NG	0	26	Bone Breastplate Helmet		add	0
24	24	NG	0	53	Bone Breastplate		update	0
10088	31	NG	0	33	Bone Breastplate Gaiters		add	0
10089	50	NG	0	20	Bone Breastplate Gloves		add	0
10090	38	NG	0	20	Bone Breastplate Boots		add	0
10091	2416	D	1	44	Bone Breastplate Helmet		add	0
10092	24	D	1	77	Bone Breastplate		add	0
10093	31	D	1	48	Bone Breastplate Gaiters		add	0
10094	50	D	1	29	Bone Breastplate Gloves		add	0
10095	38	D	1	29	Bone Breastplate Boots		add	0
10096	2416	C	2	58	Bone Breastplate Helmet		add	0
10097	24	C	2	110	Bone Breastplate		add	0
10098	31	C	2	69	Bone Breastplate Gaiters		add	0
10099	50	C	2	39	Bone Breastplate Gloves		add	0
10100	38	C	2	39	Bone Breastplate Boots		add	0
10101	2416	B	3	67	Bone Breastplate Helmet		add	0
10102	24	B	3	124	Bone Breastplate		add	0
10103	31	B	3	78	Bone Breastplate Gaiters		add	0
10104	50	B	3	44	Bone Breastplate Gloves		add	0
10105	38	B	3	45	Bone Breastplate Boots		add	0
10106	2416	A	4	73	Bone Breastplate Helmet		add	0
10107	24	A	4	136	Bone Breastplate		add	0
10108	31	A	4	84	Bone Breastplate Gaiters		add	0
10109	50	A	4	49	Bone Breastplate Gloves		add	0
10110	38	A	4	49	Bone Breastplate Boots		add	0
10111	2416	S	5	83	Bone Breastplate Helmet		add	0
10112	24	S	5	153	Bone Breastplate		add	0
10113	31	S	5	96	Bone Breastplate Gaiters		add	0
10114	50	S	5	55	Bone Breastplate Gloves		add	0
10115	38	S	5	55	Bone Breastplate Boots		add	0
10116	7860	NG	0	26	Piece Bone Breastplate Helmet		add	1
25	25	NG	0	68	Piece Bone Breastplate		update	0
10117	32	NG	0	43	Piece Bone Breastplate Gaiters		add	0
10118	49	NG	0	20	Piece Bone Breastplate Gloves		add	0
10119	39	NG	0	20	Piece Bone Breastplate Boots		add	0
10120	7860	D	1	44	Piece Bone Breastplate Helmet		add	1
10121	25	D	1	103	Piece Bone Breastplate		add	0
10122	32	D	1	64	Piece Bone Breastplate Gaiters		add	0
10123	49	D	1	29	Piece Bone Breastplate Gloves		add	0
10124	39	D	1	29	Piece Bone Breastplate Boots		add	0
10125	7860	C	2	58	Piece Bone Breastplate Helmet		add	1
10126	25	C	2	147	Piece Bone Breastplate		add	0
10127	32	C	2	92	Piece Bone Breastplate Gaiters		add	0
10128	49	C	2	39	Piece Bone Breastplate Gloves		add	0
10129	39	C	2	39	Piece Bone Breastplate Boots		add	0
10130	7860	B	3	67	Piece Bone Breastplate Helmet		add	1
10131	25	B	3	166	Piece Bone Breastplate		add	0
10132	32	B	3	104	Piece Bone Breastplate Gaiters		add	0
10133	49	B	3	44	Piece Bone Breastplate Gloves		add	0
10134	39	B	3	45	Piece Bone Breastplate Boots		add	0
10135	7860	A	4	73	Piece Bone Breastplate Helmet		add	1
10136	25	A	4	180	Piece Bone Breastplate		add	0
10137	32	A	4	113	Piece Bone Breastplate Gaiters		add	0
10138	49	A	4	49	Piece Bone Breastplate Gloves		add	0
10139	39	A	4	49	Piece Bone Breastplate Boots		add	0
10140	7860	S	5	83	Piece Bone Breastplate Helmet		add	1
10141	25	S	5	205	Piece Bone Breastplate		add	0
10142	32	S	5	128	Piece Bone Breastplate Gaiters		add	0
10143	49	S	5	55	Piece Bone Breastplate Gloves		add	0
10144	39	S	5	55	Piece Bone Breastplate Boots		add	0
10145	7860	NG	0	26	Bronze Breastplate Helmet		add	1
26	26	NG	0	68	Bronze Breastplate		update	0
10146	34	NG	0	43	Bronze Breastplate Gaiters		add	0
10147	63	NG	0	20	Bronze Breastplate Gloves		add	0
10148	39	NG	0	20	Bronze Breastplate Boots		add	0
10149	7860	D	1	44	Bronze Breastplate Helmet		add	1
10150	26	D	1	103	Bronze Breastplate		add	0
10151	34	D	1	64	Bronze Breastplate Gaiters		add	0
10152	63	D	1	29	Bronze Breastplate Gloves		add	0
10153	39	D	1	29	Bronze Breastplate Boots		add	0
10154	7860	C	2	58	Bronze Breastplate Helmet		add	1
10155	26	C	2	147	Bronze Breastplate		add	0
10156	34	C	2	92	Bronze Breastplate Gaiters		add	0
10157	63	C	2	39	Bronze Breastplate Gloves		add	0
10158	39	C	2	39	Bronze Breastplate Boots		add	0
10159	7860	B	3	67	Bronze Breastplate Helmet		add	1
10160	26	B	3	166	Bronze Breastplate		add	0
10161	34	B	3	104	Bronze Breastplate Gaiters		add	0
10162	63	B	3	44	Bronze Breastplate Gloves		add	0
10163	39	B	3	45	Bronze Breastplate Boots		add	0
10164	7860	A	4	73	Bronze Breastplate Helmet		add	1
10165	26	A	4	180	Bronze Breastplate		add	0
10166	34	A	4	113	Bronze Breastplate Gaiters		add	0
10167	63	A	4	49	Bronze Breastplate Gloves		add	0
10168	39	A	4	49	Bronze Breastplate Boots		add	0
10169	7860	S	5	83	Bronze Breastplate Helmet		add	1
10170	26	S	5	205	Bronze Breastplate		add	0
10171	34	S	5	128	Bronze Breastplate Gaiters		add	0
10172	63	S	5	55	Bronze Breastplate Gloves		add	0
10173	39	S	5	55	Bronze Breastplate Boots		add	0
10174	2416	NG	0	26	Hard Leather Shirt Helmet		add	0
27	27	NG	0	53	Hard Leather Shirt		update	0
10175	33	NG	0	33	Hard Leather Shirt Gaiters		add	0
10176	51	NG	0	20	Hard Leather Shirt Gloves		add	0
10177	39	NG	0	20	Hard Leather Shirt Boots		add	0
10178	2416	D	1	44	Hard Leather Shirt Helmet		add	0
10179	27	D	1	77	Hard Leather Shirt		add	0
10180	33	D	1	48	Hard Leather Shirt Gaiters		add	0
10181	51	D	1	29	Hard Leather Shirt Gloves		add	0
10182	39	D	1	29	Hard Leather Shirt Boots		add	0
10183	2416	C	2	58	Hard Leather Shirt Helmet		add	0
10184	27	C	2	110	Hard Leather Shirt		add	0
10185	33	C	2	69	Hard Leather Shirt Gaiters		add	0
10186	51	C	2	39	Hard Leather Shirt Gloves		add	0
10187	39	C	2	39	Hard Leather Shirt Boots		add	0
10188	2416	B	3	67	Hard Leather Shirt Helmet		add	0
10189	27	B	3	124	Hard Leather Shirt		add	0
10190	33	B	3	78	Hard Leather Shirt Gaiters		add	0
10191	51	B	3	44	Hard Leather Shirt Gloves		add	0
10192	39	B	3	45	Hard Leather Shirt Boots		add	0
10193	2416	A	4	73	Hard Leather Shirt Helmet		add	0
10194	27	A	4	136	Hard Leather Shirt		add	0
10195	33	A	4	84	Hard Leather Shirt Gaiters		add	0
10196	51	A	4	49	Hard Leather Shirt Gloves		add	0
10197	39	A	4	49	Hard Leather Shirt Boots		add	0
10198	2416	S	5	83	Hard Leather Shirt Helmet		add	0
10199	27	S	5	153	Hard Leather Shirt		add	0
10200	33	S	5	96	Hard Leather Shirt Gaiters		add	0
10201	51	S	5	55	Hard Leather Shirt Gloves		add	0
10202	39	S	5	55	Hard Leather Shirt Boots		add	0
10203	7860	C	2	58	Composite Armor Helmet		add	1
60	60	C	2	239	Composite Armor		update	0
10204	2462	C	2	39	Composite Armor Gloves		add	0
10205	64	C	2	39	Composite Armor Boots		add	0
10206	7860	B	3	67	Composite Armor Helmet		add	1
10207	60	B	3	270	Composite Armor		add	0
10208	2462	B	3	44	Composite Armor Gloves		add	0
10209	64	B	3	45	Composite Armor Boots		add	0
10210	7860	A	4	73	Composite Armor Helmet		add	1
10211	60	A	4	293	Composite Armor		add	0
10212	2462	A	4	49	Composite Armor Gloves		add	0
10213	64	A	4	49	Composite Armor Boots		add	0
10214	7860	S	5	83	Composite Armor Helmet		add	1
10215	60	S	5	333	Composite Armor		add	0
10216	2462	S	5	55	Composite Armor Gloves		add	0
10217	64	S	5	55	Composite Armor Boots		add	0
10218	7860	D	1	44	Ring Mail Breastplate Helmet		add	1
347	347	D	1	103	Ring Mail Breastplate		update	0
10219	376	D	1	64	Ring Mail Breastplate Gaiters		add	0
10220	63	D	1	29	Ring Mail Breastplate Gloves		add	0
10221	553	D	1	29	Ring Mail Breastplate Boots		add	0
10222	7860	C	2	58	Ring Mail Breastplate Helmet		add	1
10223	347	C	2	147	Ring Mail Breastplate		add	0
10224	376	C	2	92	Ring Mail Breastplate Gaiters		add	0
10225	63	C	2	39	Ring Mail Breastplate Gloves		add	0
10226	553	C	2	39	Ring Mail Breastplate Boots		add	0
10227	7860	B	3	67	Ring Mail Breastplate Helmet		add	1
10228	347	B	3	166	Ring Mail Breastplate		add	0
10229	376	B	3	104	Ring Mail Breastplate Gaiters		add	0
10230	63	B	3	44	Ring Mail Breastplate Gloves		add	0
10231	553	B	3	45	Ring Mail Breastplate Boots		add	0
10232	7860	A	4	73	Ring Mail Breastplate Helmet		add	1
10233	347	A	4	180	Ring Mail Breastplate		add	0
10234	376	A	4	113	Ring Mail Breastplate Gaiters		add	0
10235	63	A	4	49	Ring Mail Breastplate Gloves		add	0
10236	553	A	4	49	Ring Mail Breastplate Boots		add	0
10237	7860	S	5	83	Ring Mail Breastplate Helmet		add	1
10238	347	S	5	205	Ring Mail Breastplate		add	0
10239	376	S	5	128	Ring Mail Breastplate Gaiters		add	0
10240	63	S	5	55	Ring Mail Breastplate Gloves		add	0
10241	553	S	5	55	Ring Mail Breastplate Boots		add	0
10242	7860	D	1	44	Scale Mail Helmet		add	1
348	348	D	1	103	Scale Mail		update	0
10243	377	D	1	64	Scale Mail Gaiters		add	0
10244	63	D	1	29	Scale Mail Gloves		add	0
10245	553	D	1	29	Scale Mail Boots		add	0
10246	7860	C	2	58	Scale Mail Helmet		add	1
10247	348	C	2	147	Scale Mail		add	0
10248	377	C	2	92	Scale Mail Gaiters		add	0
10249	63	C	2	39	Scale Mail Gloves		add	0
10250	553	C	2	39	Scale Mail Boots		add	0
10251	7860	B	3	67	Scale Mail Helmet		add	1
10252	348	B	3	166	Scale Mail		add	0
10253	377	B	3	104	Scale Mail Gaiters		add	0
10254	63	B	3	44	Scale Mail Gloves		add	0
10255	553	B	3	45	Scale Mail Boots		add	0
10256	7860	A	4	73	Scale Mail Helmet		add	1
10257	348	A	4	180	Scale Mail		add	0
10258	377	A	4	113	Scale Mail Gaiters		add	0
10259	63	A	4	49	Scale Mail Gloves		add	0
10260	553	A	4	49	Scale Mail Boots		add	0
10261	7860	S	5	83	Scale Mail Helmet		add	1
10262	348	S	5	205	Scale Mail		add	0
10263	377	S	5	128	Scale Mail Gaiters		add	0
10264	63	S	5	55	Scale Mail Gloves		add	0
10265	553	S	5	55	Scale Mail Boots		add	0
10266	7860	D	1	44	Compound Scale Mail Helmet		add	1
349	349	D	1	103	Compound Scale Mail		update	0
10267	378	D	1	64	Compound Scale Mail Gaiters		add	0
10268	63	D	1	29	Compound Scale Mail Gloves		add	0
10269	553	D	1	29	Compound Scale Mail Boots		add	0
10270	7860	C	2	58	Compound Scale Mail Helmet		add	1
10271	349	C	2	147	Compound Scale Mail		add	0
10272	378	C	2	92	Compound Scale Mail Gaiters		add	0
10273	63	C	2	39	Compound Scale Mail Gloves		add	0
10274	553	C	2	39	Compound Scale Mail Boots		add	0
10275	7860	B	3	67	Compound Scale Mail Helmet		add	1
10276	349	B	3	166	Compound Scale Mail		add	0
10277	378	B	3	104	Compound Scale Mail Gaiters		add	0
10278	63	B	3	44	Compound Scale Mail Gloves		add	0
10279	553	B	3	45	Compound Scale Mail Boots		add	0
10280	7860	A	4	73	Compound Scale Mail Helmet		add	1
10281	349	A	4	180	Compound Scale Mail		add	0
10282	378	A	4	113	Compound Scale Mail Gaiters		add	0
10283	63	A	4	49	Compound Scale Mail Gloves		add	0
10284	553	A	4	49	Compound Scale Mail Boots		add	0
10285	7860	S	5	83	Compound Scale Mail Helmet		add	1
10286	349	S	5	205	Compound Scale Mail		add	0
10287	378	S	5	128	Compound Scale Mail Gaiters		add	0
10288	63	S	5	55	Compound Scale Mail Gloves		add	0
10289	553	S	5	55	Compound Scale Mail Boots		add	0
10290	7860	D	1	44	Dwarven Scale Mail Helmet		add	1
350	350	D	1	103	Dwarven Scale Mail		update	0
10291	379	D	1	64	Dwarven Scale Mail Gaiters		add	0
10292	2480	D	1	29	Dwarven Scale Mail Gloves		add	0
10293	2445	D	1	29	Dwarven Scale Mail Boots		add	0
10294	7860	C	2	58	Dwarven Scale Mail Helmet		add	1
10295	350	C	2	147	Dwarven Scale Mail		add	0
10296	379	C	2	92	Dwarven Scale Mail Gaiters		add	0
10297	2480	C	2	39	Dwarven Scale Mail Gloves		add	0
10298	2445	C	2	39	Dwarven Scale Mail Boots		add	0
10299	7860	B	3	67	Dwarven Scale Mail Helmet		add	1
10300	350	B	3	166	Dwarven Scale Mail		add	0
10301	379	B	3	104	Dwarven Scale Mail Gaiters		add	0
10302	2480	B	3	44	Dwarven Scale Mail Gloves		add	0
10303	2445	B	3	45	Dwarven Scale Mail Boots		add	0
10304	7860	A	4	73	Dwarven Scale Mail Helmet		add	1
10305	350	A	4	180	Dwarven Scale Mail		add	0
10306	379	A	4	113	Dwarven Scale Mail Gaiters		add	0
10307	2480	A	4	49	Dwarven Scale Mail Gloves		add	0
10308	2445	A	4	49	Dwarven Scale Mail Boots		add	0
10309	7860	S	5	83	Dwarven Scale Mail Helmet		add	1
10310	350	S	5	205	Dwarven Scale Mail		add	0
10311	379	S	5	128	Dwarven Scale Mail Gaiters		add	0
10312	2480	S	5	55	Dwarven Scale Mail Gloves		add	0
10313	2445	S	5	55	Dwarven Scale Mail Boots		add	0
10314	7860	D	1	44	Blast Plate Helmet		add	1
351	351	D	1	103	Blast Plate		update	0
10315	2377	D	1	64	Blast Plate Gaiters		add	0
10316	606	D	1	29	Blast Plate Gloves		add	0
10317	1124	D	1	29	Blast Plate Boots		add	0
10318	7860	C	2	58	Blast Plate Helmet		add	1
10319	351	C	2	147	Blast Plate		add	0
10320	2377	C	2	92	Blast Plate Gaiters		add	0
10321	606	C	2	39	Blast Plate Gloves		add	0
10322	1124	C	2	39	Blast Plate Boots		add	0
10323	7860	B	3	67	Blast Plate Helmet		add	1
10324	351	B	3	166	Blast Plate		add	0
10325	2377	B	3	104	Blast Plate Gaiters		add	0
10326	606	B	3	44	Blast Plate Gloves		add	0
10327	1124	B	3	45	Blast Plate Boots		add	0
10328	7860	A	4	73	Blast Plate Helmet		add	1
10329	351	A	4	180	Blast Plate		add	0
10330	2377	A	4	113	Blast Plate Gaiters		add	0
10331	606	A	4	49	Blast Plate Gloves		add	0
10332	1124	A	4	49	Blast Plate Boots		add	0
10333	7860	S	5	83	Blast Plate Helmet		add	1
10334	351	S	5	205	Blast Plate		add	0
10335	2377	S	5	128	Blast Plate Gaiters		add	0
10336	606	S	5	55	Blast Plate Gloves		add	0
10337	1124	S	5	55	Blast Plate Boots		add	0
10338	7860	D	1	44	Brigandine Tunic Helmet		add	1
352	352	D	1	103	Brigandine Tunic		update	0
10339	2378	D	1	64	Brigandine Tunic Gaiters		add	0
10340	2449	D	1	29	Brigandine Tunic Gloves		add	0
10341	2425	D	1	29	Brigandine Tunic Boots		add	0
10342	7860	C	2	58	Brigandine Tunic Helmet		add	1
10343	352	C	2	147	Brigandine Tunic		add	0
10344	2378	C	2	92	Brigandine Tunic Gaiters		add	0
10345	2449	C	2	39	Brigandine Tunic Gloves		add	0
10346	2425	C	2	39	Brigandine Tunic Boots		add	0
10347	7860	B	3	67	Brigandine Tunic Helmet		add	1
10348	352	B	3	166	Brigandine Tunic		add	0
10349	2378	B	3	104	Brigandine Tunic Gaiters		add	0
10350	2449	B	3	44	Brigandine Tunic Gloves		add	0
10351	2425	B	3	45	Brigandine Tunic Boots		add	0
10352	7860	A	4	73	Brigandine Tunic Helmet		add	1
10353	352	A	4	180	Brigandine Tunic		add	0
10354	2378	A	4	113	Brigandine Tunic Gaiters		add	0
10355	2449	A	4	49	Brigandine Tunic Gloves		add	0
10356	2425	A	4	49	Brigandine Tunic Boots		add	0
10357	7860	S	5	83	Brigandine Tunic Helmet		add	1
10358	352	S	5	205	Brigandine Tunic		add	0
10359	2378	S	5	128	Brigandine Tunic Gaiters		add	0
10360	2449	S	5	55	Brigandine Tunic Gloves		add	0
10361	2425	S	5	55	Brigandine Tunic Boots		add	0
10362	7860	D	1	44	Half Plate Armor Helmet		add	1
353	353	D	1	103	Half Plate Armor		update	0
10363	380	D	1	64	Half Plate Armor Gaiters		add	0
10364	61	D	1	29	Half Plate Armor Gloves		add	0
10365	2428	D	1	29	Half Plate Armor Boots		add	0
10366	7860	C	2	58	Half Plate Armor Helmet		add	1
10367	353	C	2	147	Half Plate Armor		add	0
10368	380	C	2	92	Half Plate Armor Gaiters		add	0
10369	61	C	2	39	Half Plate Armor Gloves		add	0
10370	2428	C	2	39	Half Plate Armor Boots		add	0
10371	7860	B	3	67	Half Plate Armor Helmet		add	1
10372	353	B	3	166	Half Plate Armor		add	0
10373	380	B	3	104	Half Plate Armor Gaiters		add	0
10374	61	B	3	44	Half Plate Armor Gloves		add	0
10375	2428	B	3	45	Half Plate Armor Boots		add	0
10376	7860	A	4	73	Half Plate Armor Helmet		add	1
10377	353	A	4	180	Half Plate Armor		add	0
10378	380	A	4	113	Half Plate Armor Gaiters		add	0
10379	61	A	4	49	Half Plate Armor Gloves		add	0
10380	2428	A	4	49	Half Plate Armor Boots		add	0
10381	7860	S	5	83	Half Plate Armor Helmet		add	1
10382	353	S	5	205	Half Plate Armor		add	0
10383	380	S	5	128	Half Plate Armor Gaiters		add	0
10384	61	S	5	55	Half Plate Armor Gloves		add	0
10385	2428	S	5	55	Half Plate Armor Boots		add	0
10386	7860	C	2	58	Chain Mail Shirt Helmet		add	1
354	354	C	2	147	Chain Mail Shirt		update	0
10387	381	C	2	92	Chain Mail Shirt Gaiters		add	0
10388	2453	C	2	39	Chain Mail Shirt Gloves		add	0
10389	2429	C	2	39	Chain Mail Shirt Boots		add	0
10390	7860	B	3	67	Chain Mail Shirt Helmet		add	1
10391	354	B	3	166	Chain Mail Shirt		add	0
10392	381	B	3	104	Chain Mail Shirt Gaiters		add	0
10393	2453	B	3	44	Chain Mail Shirt Gloves		add	0
10394	2429	B	3	45	Chain Mail Shirt Boots		add	0
10395	7860	A	4	73	Chain Mail Shirt Helmet		add	1
10396	354	A	4	180	Chain Mail Shirt		add	0
10397	381	A	4	113	Chain Mail Shirt Gaiters		add	0
10398	2453	A	4	49	Chain Mail Shirt Gloves		add	0
10399	2429	A	4	49	Chain Mail Shirt Boots		add	0
10400	7860	S	5	83	Chain Mail Shirt Helmet		add	1
10401	354	S	5	205	Chain Mail Shirt		add	0
10402	381	S	5	128	Chain Mail Shirt Gaiters		add	0
10403	2453	S	5	55	Chain Mail Shirt Gloves		add	0
10404	2429	S	5	55	Chain Mail Shirt Boots		add	0
10405	7860	C	2	58	Dwarven Chain Mail Shirt Helmet		add	1
355	355	C	2	147	Dwarven Chain Mail Shirt		update	0
10406	382	C	2	92	Dwarven Chain Mail Shirt Gaiters		add	0
10407	2456	C	2	39	Dwarven Chain Mail Shirt Gloves		add	0
10408	2432	C	2	39	Dwarven Chain Mail Shirt Boots		add	0
10409	7860	B	3	67	Dwarven Chain Mail Shirt Helmet		add	1
10410	355	B	3	166	Dwarven Chain Mail Shirt		add	0
10411	382	B	3	104	Dwarven Chain Mail Shirt Gaiters		add	0
10412	2456	B	3	44	Dwarven Chain Mail Shirt Gloves		add	0
10413	2432	B	3	45	Dwarven Chain Mail Shirt Boots		add	0
10414	7860	A	4	73	Dwarven Chain Mail Shirt Helmet		add	1
10415	355	A	4	180	Dwarven Chain Mail Shirt		add	0
10416	382	A	4	113	Dwarven Chain Mail Shirt Gaiters		add	0
10417	2456	A	4	49	Dwarven Chain Mail Shirt Gloves		add	0
10418	2432	A	4	49	Dwarven Chain Mail Shirt Boots		add	0
10419	7860	S	5	83	Dwarven Chain Mail Shirt Helmet		add	1
10420	355	S	5	205	Dwarven Chain Mail Shirt		add	0
10421	382	S	5	128	Dwarven Chain Mail Shirt Gaiters		add	0
10422	2456	S	5	55	Dwarven Chain Mail Shirt Gloves		add	0
10423	2432	S	5	55	Dwarven Chain Mail Shirt Boots		add	0
10424	7860	C	2	58	Full Plate Armor Helmet		add	1
356	356	C	2	239	Full Plate Armor		update	0
10425	2462	C	2	39	Full Plate Armor Gloves		add	0
10426	2438	C	2	39	Full Plate Armor Boots		add	0
10427	7860	B	3	67	Full Plate Armor Helmet		add	1
10428	356	B	3	270	Full Plate Armor		add	0
10429	2462	B	3	44	Full Plate Armor Gloves		add	0
10430	2438	B	3	45	Full Plate Armor Boots		add	0
10431	7860	A	4	73	Full Plate Armor Helmet		add	1
10432	356	A	4	293	Full Plate Armor		add	0
10433	2462	A	4	49	Full Plate Armor Gloves		add	0
10434	2438	A	4	49	Full Plate Armor Boots		add	0
10435	7860	S	5	83	Full Plate Armor Helmet		add	1
10436	356	S	5	333	Full Plate Armor		add	0
10437	2462	S	5	55	Full Plate Armor Gloves		add	0
10438	2438	S	5	55	Full Plate Armor Boots		add	0
10439	7860	B	3	67	Zubei's Breastplate Helmet		add	1
357	357	B	3	166	Zubei's Breastplate		update	0
10440	383	B	3	104	Zubei's Breastplate Gaiters		add	0
10441	5710	B	3	44	Zubei's Breastplate Gloves		add	0
10442	5726	B	3	45	Zubei's Breastplate Boots		add	0
10443	7860	A	4	73	Zubei's Breastplate Helmet		add	1
10444	357	A	4	180	Zubei's Breastplate		add	0
10445	383	A	4	113	Zubei's Breastplate Gaiters		add	0
10446	5710	A	4	49	Zubei's Breastplate Gloves		add	0
10447	5726	A	4	49	Zubei's Breastplate Boots		add	0
10448	7860	S	5	83	Zubei's Breastplate Helmet		add	1
10449	357	S	5	205	Zubei's Breastplate		add	0
10450	383	S	5	128	Zubei's Breastplate Gaiters		add	0
10451	5710	S	5	55	Zubei's Breastplate Gloves		add	0
10452	5726	S	5	55	Zubei's Breastplate Boots		add	0
10453	7860	B	3	67	Blue Wolf Breastplate Helmet		add	1
358	358	B	3	166	Blue Wolf Breastplate		update	0
10454	2380	B	3	104	Blue Wolf Breastplate Gaiters		add	0
10455	5718	B	3	44	Blue Wolf Breastplate Gloves		add	0
10456	5734	B	3	45	Blue Wolf Breastplate Boots		add	0
10457	7860	A	4	73	Blue Wolf Breastplate Helmet		add	1
10458	358	A	4	180	Blue Wolf Breastplate		add	0
10459	2380	A	4	113	Blue Wolf Breastplate Gaiters		add	0
10460	5718	A	4	49	Blue Wolf Breastplate Gloves		add	0
10461	5734	A	4	49	Blue Wolf Breastplate Boots		add	0
10462	7860	S	5	83	Blue Wolf Breastplate Helmet		add	1
10463	358	S	5	205	Blue Wolf Breastplate		add	0
10464	2380	S	5	128	Blue Wolf Breastplate Gaiters		add	0
10465	5718	S	5	55	Blue Wolf Breastplate Gloves		add	0
10466	5734	S	5	55	Blue Wolf Breastplate Boots		add	0
10467	7860	B	3	67	Shining Dragon Armor Helmet		add	1
359	359	B	3	270	Shining Dragon Armor		update	0
10468	2477	B	3	44	Shining Dragon Armor Gloves		add	0
