# Size, offset and particle speed of the enchant glow, per weapon shape.
#
# Applied by tools\client\tune_enchant_glow.ps1 to every weapongrp row whose
# effect is an EnchantGlow rung. See docs/enchant-glow.md.
#
# key     what it matches                            wins over
# ------  -----------------------------------------  ----------
# *       every glowing weapon                       nothing
# 004t    one shape of the ladder                    *
# id:266  one weapon, by its weapongrp id            everything
#
# With no "*" row - as here - only the weapons named below are written, and every other glowing
# row keeps the numbers weapongrp already carries.
#
# offX/offY/offZ move the effect in the weapon's own axes, in Unreal units:
#   X  along the blade   (+ towards the tip)
#   Y  sideways
#   Z  up
# scale is the size of the effect, 1 being the size it was authored at ; over 3
# is enormous. velocity is how fast its particles travel - lower is a tighter,
# calmer glow, higher throws them further out.
#
# On two-handed-mesh weapons (fists, dual swords) the same row goes to both hands.

# key    offX   offY   offZ   scale   velocity
id:294   27     0      0      2       2
id:295   27     0      0      2       2
id:296   27     0      0      2       2
id:297   27     0      0      2       2
id:299   27     0      0      2       2
id:300   27     0      0      2       2
id:301   22.5   0      0      2       2
id:302   22.5   0      0      2       2
id:303   22.5   0      0      2       2
id:304   30     0      0      2.25    2
id:305   25     0      0      2       2
id:306   22.5   0      0      2.25    2
id:311   -15.5  0      0      1       1
id:312   -12.5  0      0      1       1
id:313   -17.5  0      0      1       1
id:315   -23    0      0      1       1
id:316   -15    0      0      1       1
id:317   -23    0      0      1       1
id:318   -12.5  0      0      1       1
id:319   -28.5  2.5    0      0.75    1
id:321   -17.5  0      0      1       1
id:946   0      0      0      2       2
id:1376  25     0      0      2       2
id:2499  0      0      0      2       1.5
id:2500  0      0      0      2       2
id:2502  -10    0      0      1.25    1.75
id:2503  -10    0      0      1.25    1.75
id:2504  -15    0      0      1       1.5
id:6365  -7.5   0      0      1.5     1.5
id:6366  5      0      0      1.25    1.75
id:6367  0      0      0      2       2.5
id:6368  0      -1     0      1.25    1.25
id:6369  -6     0      0      1.25    3
id:6370  27.5   0      0      2       3
id:6371  0      0      0      1       1
id:6372  0      0      0      3.05    4
id:6579  -5.5   0      0      1       1.5
id:7058  -5     0      0      1       2
id:7575  0      0      0      1.25    1.25
id:7885  0      0      0      2       1
id:7886  0      0      0      2       1
id:7888  0      0      0      2       1.5
id:7889  0      0      0      2       1
id:7890  -15    0      0      1       1
id:7891  -15    0      0      1.25    2
id:7892  -17    0      0      1.25    2
id:7893  -22    0      0      1       1
id:7894  -10    0      0      1       1
id:7895  -10    0      0      1       1
id:7896  0      0      0      1.25    3
id:7897  0      0      0      1.25    1
id:7898  -2.5   0      0      1.25    3
id:7899  -2.5   0      0      1.25    3
id:7900  -2.5   0      0      1.25    3
id:7901  0      0      0      1.25    3
id:7902  -3     0      0      1.25    3
id:8678  0      0      0      2.5     2
id:8680  -12.5  0      0      1.25    3
id:8681  3      0      0      1.25    3
id:8682  0      0      0      2.25    3
id:8683  30     0      0      2       2
id:8684  0      0      0      1.25    1.25
id:8687  -10    0      0      1.25    3
id:8688  5      0      0      1       1.5
