id	donor	grade	gradeIdx	pAtk	mAtk	class	glow	name
12068	94	S	5	297	137	POLE	002t	Bec de Corbin
95	95	C	2			POLE	002t	Poleaxe
12069	95	B	3	194	99	POLE	002t	Poleaxe
12070	95	A	4	258	121	POLE	002t	Poleaxe
12071	95	S	5	297	137	POLE	002t	Poleaxe
96	96	C	2			POLE	002t	Scythe
12072	96	B	3	194	99	POLE	002t	Scythe
12073	96	A	4	258	121	POLE	002t	Scythe
12074	96	S	5	297	137	POLE	002t	Scythe
97	97	B	3			POLE	002t	Lance
12075	97	A	4	258	121	POLE	002t	Lance
12076	97	S	5	297	137	POLE	002t	Lance
98	98	A	4			POLE	002t	Halberd
12077	98	S	5	297	137	POLE	002t	Halberd
99	99	NG	0			ETC_M	007t	Apprentice's Spellbook
100	100	NG	0			ETC_M	007t	Voodoo Doll
101	101	D	1			ETC_M	007t	Scroll of Wisdom
12078	101	C	2	125	111	ETC_M	007t	Scroll of Wisdom
12079	101	B	3	155	132	ETC_M	007t	Scroll of Wisdom
12080	101	A	4	202	161	ETC_M	007t	Scroll of Wisdom
12081	101	S	5	238	182	ETC_M	007t	Scroll of Wisdom
120	120	NG	0			SWORD_P	004t	Sword of Reflection
121	121	NG	0			SWORD_P	004t	Sword of Watershadow
122	122	NG	0			SWORD_P	004t	Handmade Sword
123	123	D	1			SWORD_P	004t	Saber
12082	123	C	2	156	83	SWORD_P	004t	Saber
12083	123	B	3	194	99	SWORD_P	004t	Saber
12084	123	A	4	258	121	SWORD_P	004t	Saber
12085	123	S	5	297	137	SWORD_P	004t	Saber
124	124	D	1			BIGSWORD	004t	Two-Handed Sword
12086	124	C	2	190	83	BIGSWORD	004t	Two-Handed Sword
12087	124	B	3	236	99	BIGSWORD	004t	Two-Handed Sword
12088	124	A	4	305	121	BIGSWORD	004t	Two-Handed Sword
12089	124	S	5	361	137	BIGSWORD	004t	Two-Handed Sword
125	125	D	1			SWORD_P	004t	Spinebone Sword
12090	125	C	2	156	83	SWORD_P	004t	Spinebone Sword
12091	125	B	3	194	99	SWORD_P	004t	Spinebone Sword
12092	125	A	4	258	121	SWORD_P	004t	Spinebone Sword
12093	125	S	5	297	137	SWORD_P	004t	Spinebone Sword
126	126	D	1			SWORD_P	004t	Artisan's Sword
12094	126	C	2	156	83	SWORD_P	004t	Artisan's Sword
12095	126	B	3	194	99	SWORD_P	004t	Artisan's Sword
12096	126	A	4	258	121	SWORD_P	004t	Artisan's Sword
12097	126	S	5	297	137	SWORD_P	004t	Artisan's Sword
127	127	D	1			SWORD_P	004t	Crimson Sword
12098	127	C	2	156	83	SWORD_P	004t	Crimson Sword
12099	127	B	3	194	99	SWORD_P	004t	Crimson Sword
12100	127	A	4	258	121	SWORD_P	004t	Crimson Sword
12101	127	S	5	297	137	SWORD_P	004t	Crimson Sword
128	128	D	1			SWORD_P	004t	Knight's Sword
12102	128	C	2	156	83	SWORD_P	004t	Knight's Sword
12103	128	B	3	194	99	SWORD_P	004t	Knight's Sword
12104	128	A	4	258	121	SWORD_P	004t	Knight's Sword
12105	128	S	5	297	137	SWORD_P	004t	Knight's Sword
129	129	D	1			SWORD_P	004t	Sword of Revolution
12106	129	C	2	156	83	SWORD_P	004t	Sword of Revolution
12107	129	B	3	194	99	SWORD_P	004t	Sword of Revolution
12108	129	A	4	258	121	SWORD_P	004t	Sword of Revolution
12109	129	S	5	297	137	SWORD_P	004t	Sword of Revolution
130	130	D	1			SWORD_P	004t	Elven Sword
12110	130	C	2	156	83	SWORD_P	004t	Elven Sword
12111	130	B	3	194	99	SWORD_P	004t	Elven Sword
12112	130	A	4	258	121	SWORD_P	004t	Elven Sword
12113	130	S	5	297	137	SWORD_P	004t	Elven Sword
131	131	C	2			SWORD_P	004t	Spirit Sword
12114	131	B	3	194	99	SWORD_P	004t	Spirit Sword
12115	131	A	4	258	121	SWORD_P	004t	Spirit Sword
12116	131	S	5	297	137	SWORD_P	004t	Spirit Sword
132	132	C	2			SWORD_P	004t	Sword of Limit
12117	132	B	3	194	99	SWORD_P	004t	Sword of Limit
12118	132	A	4	258	121	SWORD_P	004t	Sword of Limit
12119	132	S	5	297	137	SWORD_P	004t	Sword of Limit
133	133	C	2			SWORD_P	004t	Raid Sword
12120	133	B	3	194	99	SWORD_P	004t	Raid Sword
12121	133	A	4	258	121	SWORD_P	004t	Raid Sword
12122	133	S	5	297	137	SWORD_P	004t	Raid Sword
134	134	C	2			SWORD_P	004t	Sword of Nightmare
12123	134	B	3	194	99	SWORD_P	004t	Sword of Nightmare
12124	134	A	4	258	121	SWORD_P	004t	Sword of Nightmare
12125	134	S	5	297	137	SWORD_P	004t	Sword of Nightmare
135	135	C	2			SWORD_P	004t	Samurai Longsword
12126	135	B	3	194	99	SWORD_P	004t	Samurai Longsword
12127	135	A	4	258	121	SWORD_P	004t	Samurai Longsword
12128	135	S	5	297	137	SWORD_P	004t	Samurai Longsword
136	136	B	3			SWORD_P	004t	Blade of Serenity
12129	136	A	4	258	121	SWORD_P	004t	Blade of Serenity
12130	136	S	5	297	137	SWORD_P	004t	Blade of Serenity
137	137	B	3			SWORD_P	004t	Mist Sword
12131	137	A	4	258	121	SWORD_P	004t	Mist Sword
12132	137	S	5	297	137	SWORD_P	004t	Mist Sword
138	138	B	3			SWORD_P	004t	Sword of Desert
12133	138	A	4	258	121	SWORD_P	004t	Sword of Desert
12134	138	S	5	297	137	SWORD_P	004t	Sword of Desert
139	139	B	3			SWORD_P	004t	Dusk Sword
12135	139	A	4	258	121	SWORD_P	004t	Dusk Sword
12136	139	S	5	297	137	SWORD_P	004t	Dusk Sword
140	140	B	3			SWORD_P	004t	Eminence Sword
12137	140	A	4	258	121	SWORD_P	004t	Eminence Sword
12138	140	S	5	297	137	SWORD_P	004t	Eminence Sword
141	141	B	3			SWORD_P	004t	Hazard Sword
12139	141	A	4	258	121	SWORD_P	004t	Hazard Sword
12140	141	S	5	297	137	SWORD_P	004t	Hazard Sword
142	142	B	3			SWORD_P	004t	Keshanberk
12141	142	A	4	258	121	SWORD_P	004t	Keshanberk
12142	142	S	5	297	137	SWORD_P	004t	Keshanberk
143	143	D	1			SWORD_M	004t	Sword of Mystic
12143	143	C	2	125	111	SWORD_M	004t	Sword of Mystic
12144	143	B	3	155	132	SWORD_M	004t	Sword of Mystic
12145	143	A	4	202	161	SWORD_M	004t	Sword of Mystic
12146	143	S	5	238	182	SWORD_M	004t	Sword of Mystic
144	144	D	1			SWORD_M	004t	Sword of Occult
12147	144	C	2	125	111	SWORD_M	004t	Sword of Occult
12148	144	B	3	155	132	SWORD_M	004t	Sword of Occult
12149	144	A	4	202	161	SWORD_M	004t	Sword of Occult
12150	144	S	5	238	182	SWORD_M	004t	Sword of Occult
145	145	C	2			SWORD_M	004t	Sword of Whispering Death
12151	145	B	3	155	132	SWORD_M	004t	Sword of Whispering Death
12152	145	A	4	202	161	SWORD_M	004t	Sword of Whispering Death
12153	145	S	5	238	182	SWORD_M	004t	Sword of Whispering Death
146	146	B	3			SWORD_M	004t	Ghoulbane
12154	146	A	4	202	161	SWORD_M	004t	Ghoulbane
12155	146	S	5	238	182	SWORD_M	004t	Ghoulbane
147	147	A	4			SWORD_M	004t	Tear of Darkness
12156	147	S	5	238	182	SWORD_M	004t	Tear of Darkness
148	148	B	3			SWORD_M	004t	Sword of Valhalla
12157	148	A	4	202	161	SWORD_M	004t	Sword of Valhalla
12158	148	S	5	238	182	SWORD_M	004t	Sword of Valhalla
149	149	A	4			SWORD_M	004t	Sword of Life
12159	149	S	5	238	182	SWORD_M	004t	Sword of Life
150	150	A	4			SWORD_M	004t	Elemental Sword
12160	150	S	5	238	182	SWORD_M	004t	Elemental Sword
151	151	A	4			SWORD_M	004t	Sword of Miracles
12161	151	S	5	238	182	SWORD_M	004t	Sword of Miracles
152	152	NG	0			BLUNT_P	007t	Heavy Chisel
153	153	NG	0			BLUNT_P	007t	Sickle
154	154	NG	0			BLUNT_P	007t	Dwarven Mace
155	155	NG	0			BLUNT_P	007t	Buzdygan
156	156	D	1			BLUNT_P	007t	Hand Axe
12162	156	C	2	156	83	BLUNT_P	007t	Hand Axe
12163	156	B	3	194	99	BLUNT_P	007t	Hand Axe
12164	156	A	4	258	121	BLUNT_P	007t	Hand Axe
12165	156	S	5	297	137	BLUNT_P	007t	Hand Axe
157	157	D	1			BLUNT_P	007t	Spiked Club
12166	157	C	2	156	83	BLUNT_P	007t	Spiked Club
12167	157	B	3	194	99	BLUNT_P	007t	Spiked Club
12168	157	A	4	258	121	BLUNT_P	007t	Spiked Club
12169	157	S	5	297	137	BLUNT_P	007t	Spiked Club
158	158	D	1			BLUNT_P	007t	Tarbar
12170	158	C	2	156	83	BLUNT_P	007t	Tarbar
12171	158	B	3	194	99	BLUNT_P	007t	Tarbar
12172	158	A	4	258	121	BLUNT_P	007t	Tarbar
12173	158	S	5	297	137	BLUNT_P	007t	Tarbar
159	159	D	1			BLUNT_P	007t	Bonebreaker
12174	159	C	2	156	83	BLUNT_P	007t	Bonebreaker
12175	159	B	3	194	99	BLUNT_P	007t	Bonebreaker
12176	159	A	4	258	121	BLUNT_P	007t	Bonebreaker
12177	159	S	5	297	137	BLUNT_P	007t	Bonebreaker
160	160	C	2			BLUNT_P	007t	Battle Axe
12178	160	B	3	194	99	BLUNT_P	007t	Battle Axe
12179	160	A	4	258	121	BLUNT_P	007t	Battle Axe
12180	160	S	5	297	137	BLUNT_P	007t	Battle Axe
161	161	C	2			BLUNT_P	007t	Silver Axe
12181	161	B	3	194	99	BLUNT_P	007t	Silver Axe
12182	161	A	4	258	121	BLUNT_P	007t	Silver Axe
12183	161	S	5	297	137	BLUNT_P	007t	Silver Axe
162	162	C	2			BLUNT_P	007t	War Axe
12184	162	B	3	194	99	BLUNT_P	007t	War Axe
12185	162	A	4	258	121	BLUNT_P	007t	War Axe
12186	162	S	5	297	137	BLUNT_P	007t	War Axe
163	163	B	3			BLUNT_P	007t	_
12187	163	A	4	258	121	BLUNT_P	007t	_
12188	163	S	5	297	137	BLUNT_P	007t	_
164	164	A	4			BLUNT_P	007t	Elysian
12189	164	S	5	297	137	BLUNT_P	007t	Elysian
165	165	S	5			BLUNT_P	007t	Yablonski's Hammer
166	166	D	1			BLUNT_P	007t	Heavy Mace
12190	166	C	2	156	83	BLUNT_P	007t	Heavy Mace
12191	166	B	3	194	99	BLUNT_P	007t	Heavy Mace
12192	166	A	4	258	121	BLUNT_P	007t	Heavy Mace
12193	166	S	5	297	137	BLUNT_P	007t	Heavy Mace
167	167	D	1			BLUNT_P	007t	Scalpel
12194	167	C	2	156	83	BLUNT_P	007t	Scalpel
12195	167	B	3	194	99	BLUNT_P	007t	Scalpel
12196	167	A	4	258	121	BLUNT_P	007t	Scalpel
12197	167	S	5	297	137	BLUNT_P	007t	Scalpel
168	168	D	1			BLUNT_P	007t	Work Hammer
12198	168	C	2	156	83	BLUNT_P	007t	Work Hammer
12199	168	B	3	194	99	BLUNT_P	007t	Work Hammer
12200	168	A	4	258	121	BLUNT_P	007t	Work Hammer
12201	168	S	5	297	137	BLUNT_P	007t	Work Hammer
169	169	D	1			BLUNT_P	007t	Skull Breaker
12202	169	C	2	156	83	BLUNT_P	007t	Skull Breaker
12203	169	B	3	194	99	BLUNT_P	007t	Skull Breaker
12204	169	A	4	258	121	BLUNT_P	007t	Skull Breaker
12205	169	S	5	297	137	BLUNT_P	007t	Skull Breaker
170	170	A	4			BLUNT_P	007t	_
12206	170	S	5	297	137	BLUNT_P	007t	_
171	171	B	3			BLUNT_P	007t	Deadman's Glory
12207	171	A	4	258	121	BLUNT_P	007t	Deadman's Glory
12208	171	S	5	297	137	BLUNT_P	007t	Deadman's Glory
172	172	D	1			BLUNT_P	007t	Heavy Bone Club
12209	172	C	2	156	83	BLUNT_P	007t	Heavy Bone Club
12210	172	B	3	194	99	BLUNT_P	007t	Heavy Bone Club
12211	172	A	4	258	121	BLUNT_P	007t	Heavy Bone Club
12212	172	S	5	297	137	BLUNT_P	007t	Heavy Bone Club
173	173	C	2			BLUNT_P	007t	Skull Graver
12213	173	B	3	194	99	BLUNT_P	007t	Skull Graver
12214	173	A	4	258	121	BLUNT_P	007t	Skull Graver
12215	173	S	5	297	137	BLUNT_P	007t	Skull Graver
174	174	C	2			BLUNT_M	007t	Nirvana Axe
12216	174	B	3	155	132	BLUNT_M	007t	Nirvana Axe
12217	174	A	4	202	161	BLUNT_M	007t	Nirvana Axe
12218	174	S	5	238	182	BLUNT_M	007t	Nirvana Axe
175	175	B	3			BLUNT_P	007t	Art of Battle Axe
12219	175	A	4	258	121	BLUNT_P	007t	Art of Battle Axe
12220	175	S	5	297	137	BLUNT_P	007t	Art of Battle Axe
176	176	NG	0			BIGBLUNT_M	005t	Journeyman's Staff
177	177	NG	0			BIGBLUNT_M	005t	Mage Staff
178	178	D	1			BIGBLUNT_M	005t	Bone Staff
12221	178	C	2	152	111	BIGBLUNT_M	005t	Bone Staff
12222	178	B	3	189	132	BIGBLUNT_M	005t	Bone Staff
12223	178	A	4	245	161	BIGBLUNT_M	005t	Bone Staff
12224	178	S	5	290	182	BIGBLUNT_M	005t	Bone Staff
179	179	D	1			BLUNT_M	007t	Mace of Prayer
12225	179	C	2	125	111	BLUNT_M	007t	Mace of Prayer
12226	179	B	3	155	132	BLUNT_M	007t	Mace of Prayer
12227	179	A	4	202	161	BLUNT_M	007t	Mace of Prayer
12228	179	S	5	238	182	BLUNT_M	007t	Mace of Prayer
180	180	D	1			BLUNT_M	007t	Mace of Judgment
12229	180	C	2	125	111	BLUNT_M	007t	Mace of Judgment
12230	180	B	3	155	132	BLUNT_M	007t	Mace of Judgment
12231	180	A	4	202	161	BLUNT_M	007t	Mace of Judgment
12232	180	S	5	238	182	BLUNT_M	007t	Mace of Judgment
181	181	D	1			BLUNT_M	007t	Mace of Miracle
12233	181	C	2	125	111	BLUNT_M	007t	Mace of Miracle
12234	181	B	3	155	132	BLUNT_M	007t	Mace of Miracle
12235	181	A	4	202	161	BLUNT_M	007t	Mace of Miracle
12236	181	S	5	238	182	BLUNT_M	007t	Mace of Miracle
182	182	D	1			BLUNT_M	007t	Doom Hammer
12237	182	C	2	125	111	BLUNT_M	007t	Doom Hammer
12238	182	B	3	155	132	BLUNT_M	007t	Doom Hammer
12239	182	A	4	202	161	BLUNT_M	007t	Doom Hammer
12240	182	S	5	238	182	BLUNT_M	007t	Doom Hammer
183	183	D	1			BIGBLUNT_M	005t	Mystic Staff
12241	183	C	2	152	111	BIGBLUNT_M	005t	Mystic Staff
12242	183	B	3	189	132	BIGBLUNT_M	005t	Mystic Staff
12243	183	A	4	245	161	BIGBLUNT_M	005t	Mystic Staff
12244	183	S	5	290	182	BIGBLUNT_M	005t	Mystic Staff
184	184	D	1			BIGBLUNT_M	005t	Conjuror's Staff
12245	184	C	2	152	111	BIGBLUNT_M	005t	Conjuror's Staff
12246	184	B	3	189	132	BIGBLUNT_M	005t	Conjuror's Staff
12247	184	A	4	245	161	BIGBLUNT_M	005t	Conjuror's Staff
12248	184	S	5	290	182	BIGBLUNT_M	005t	Conjuror's Staff
185	185	D	1			BIGBLUNT_M	005t	Staff of Mana
12249	185	C	2	152	111	BIGBLUNT_M	005t	Staff of Mana
12250	185	B	3	189	132	BIGBLUNT_M	005t	Staff of Mana
12251	185	A	4	245	161	BIGBLUNT_M	005t	Staff of Mana
12252	185	S	5	290	182	BIGBLUNT_M	005t	Staff of Mana
186	186	D	1			BIGBLUNT_M	005t	Staff of Magic
12253	186	C	2	152	111	BIGBLUNT_M	005t	Staff of Magic
12254	186	B	3	189	132	BIGBLUNT_M	005t	Staff of Magic
12255	186	A	4	245	161	BIGBLUNT_M	005t	Staff of Magic
12256	186	S	5	290	182	BIGBLUNT_M	005t	Staff of Magic
187	187	D	1			BIGBLUNT_M	005t	Atuba Hammer
12257	187	C	2	152	111	BIGBLUNT_M	005t	Atuba Hammer
12258	187	B	3	189	132	BIGBLUNT_M	005t	Atuba Hammer
12259	187	A	4	245	161	BIGBLUNT_M	005t	Atuba Hammer
12260	187	S	5	290	182	BIGBLUNT_M	005t	Atuba Hammer
188	188	D	1			BIGBLUNT_M	005t	Ghost Staff
12261	188	C	2	152	111	BIGBLUNT_M	005t	Ghost Staff
12262	188	B	3	189	132	BIGBLUNT_M	005t	Ghost Staff
12263	188	A	4	245	161	BIGBLUNT_M	005t	Ghost Staff
12264	188	S	5	290	182	BIGBLUNT_M	005t	Ghost Staff
189	189	D	1			BLUNT_M	007t	Staff of Life
12265	189	C	2	125	111	BLUNT_M	007t	Staff of Life
12266	189	B	3	155	132	BLUNT_M	007t	Staff of Life
12267	189	A	4	202	161	BLUNT_M	007t	Staff of Life
12268	189	S	5	238	182	BLUNT_M	007t	Staff of Life
190	190	D	1			BIGBLUNT_M	005t	Atuba Mace
12269	190	C	2	152	111	BIGBLUNT_M	005t	Atuba Mace
12270	190	B	3	189	132	BIGBLUNT_M	005t	Atuba Mace
12271	190	A	4	245	161	BIGBLUNT_M	005t	Atuba Mace
12272	190	S	5	290	182	BIGBLUNT_M	005t	Atuba Mace
191	191	C	2			BIGBLUNT_M	005t	Heavy Doom Hammer
12273	191	B	3	189	132	BIGBLUNT_M	005t	Heavy Doom Hammer
12274	191	A	4	245	161	BIGBLUNT_M	005t	Heavy Doom Hammer
12275	191	S	5	290	182	BIGBLUNT_M	005t	Heavy Doom Hammer
192	192	C	2			BIGBLUNT_M	005t	Crystal Staff
12276	192	B	3	189	132	BIGBLUNT_M	005t	Crystal Staff
12277	192	A	4	245	161	BIGBLUNT_M	005t	Crystal Staff
12278	192	S	5	290	182	BIGBLUNT_M	005t	Crystal Staff
193	193	C	2			BLUNT_M	007t	Stick of Faith
12279	193	B	3	155	132	BLUNT_M	007t	Stick of Faith
12280	193	A	4	202	161	BLUNT_M	007t	Stick of Faith
12281	193	S	5	238	182	BLUNT_M	007t	Stick of Faith
194	194	C	2			BIGBLUNT_M	005t	Heavy Doom Axe
12282	194	B	3	189	132	BIGBLUNT_M	005t	Heavy Doom Axe
12283	194	A	4	245	161	BIGBLUNT_M	005t	Heavy Doom Axe
12284	194	S	5	290	182	BIGBLUNT_M	005t	Heavy Doom Axe
195	195	C	2			BIGBLUNT_M	005t	Cursed Staff
12285	195	B	3	189	132	BIGBLUNT_M	005t	Cursed Staff
12286	195	A	4	245	161	BIGBLUNT_M	005t	Cursed Staff
12287	195	S	5	290	182	BIGBLUNT_M	005t	Cursed Staff
196	196	C	2			BLUNT_M	007t	Stick of Eternity
12288	196	B	3	155	132	BLUNT_M	007t	Stick of Eternity
12289	196	A	4	202	161	BLUNT_M	007t	Stick of Eternity
12290	196	S	5	238	182	BLUNT_M	007t	Stick of Eternity
197	197	C	2			BIGBLUNT_M	005t	Paradia Staff
12291	197	B	3	189	132	BIGBLUNT_M	005t	Paradia Staff
12292	197	A	4	245	161	BIGBLUNT_M	005t	Paradia Staff
12293	197	S	5	290	182	BIGBLUNT_M	005t	Paradia Staff
198	198	C	2			BIGBLUNT_M	005t	Inferno Staff
12294	198	B	3	189	132	BIGBLUNT_M	005t	Inferno Staff
12295	198	A	4	245	161	BIGBLUNT_M	005t	Inferno Staff
12296	198	S	5	290	182	BIGBLUNT_M	005t	Inferno Staff
199	199	C	2			BIGBLUNT_M	005t	Pa'agrian Hammer
12297	199	B	3	189	132	BIGBLUNT_M	005t	Pa'agrian Hammer
12298	199	A	4	245	161	BIGBLUNT_M	005t	Pa'agrian Hammer
12299	199	S	5	290	182	BIGBLUNT_M	005t	Pa'agrian Hammer
200	200	C	2			BIGBLUNT_M	005t	Sage's Staff
12300	200	B	3	189	132	BIGBLUNT_M	005t	Sage's Staff
12301	200	A	4	245	161	BIGBLUNT_M	005t	Sage's Staff
12302	200	S	5	290	182	BIGBLUNT_M	005t	Sage's Staff
201	201	C	2			BLUNT_M	007t	Club of Nature
12303	201	B	3	155	132	BLUNT_M	007t	Club of Nature
12304	201	A	4	202	161	BLUNT_M	007t	Club of Nature
12305	201	S	5	238	182	BLUNT_M	007t	Club of Nature
202	202	C	2			BLUNT_M	007t	Mace of The Underworld
12306	202	B	3	155	132	BLUNT_M	007t	Mace of The Underworld
12307	202	A	4	202	161	BLUNT_M	007t	Mace of The Underworld
12308	202	S	5	238	182	BLUNT_M	007t	Mace of The Underworld
203	203	C	2			BIGBLUNT_M	005t	Pa'agrian Axe
12309	203	B	3	189	132	BIGBLUNT_M	005t	Pa'agrian Axe
12310	203	A	4	245	161	BIGBLUNT_M	005t	Pa'agrian Axe
12311	203	S	5	290	182	BIGBLUNT_M	005t	Pa'agrian Axe
204	204	C	2			BIGBLUNT_M	005t	Deadman's Staff
12312	204	B	3	189	132	BIGBLUNT_M	005t	Deadman's Staff
12313	204	A	4	245	161	BIGBLUNT_M	005t	Deadman's Staff
12314	204	S	5	290	182	BIGBLUNT_M	005t	Deadman's Staff
205	205	C	2			BIGBLUNT_M	005t	Ghoul's Staff
12315	205	B	3	189	132	BIGBLUNT_M	005t	Ghoul's Staff
12316	205	A	4	245	161	BIGBLUNT_M	005t	Ghoul's Staff
12317	205	S	5	290	182	BIGBLUNT_M	005t	Ghoul's Staff
206	206	C	2			BIGBLUNT_M	005t	Demon's Staff
