"id","name","class","origGrade"
"182","Doom Hammer","BLUNT_M","D"
"183","Mystic Staff","BIGBLUNT_M","D"
"184","Conjuror's Staff","BIGBLUNT_M","D"
"185","Staff of Mana","BIGBLUNT_M","D"
"186","Staff of Magic","BIGBLUNT_M","D"
"187","Atuba Hammer","BIGBLUNT_M","D"
"188","Ghost Staff","BIGBLUNT_M","D"
"189","Staff of Life","BLUNT_M","D"
"190","Atuba Mace","BIGBLUNT_M","D"
"191","Heavy Doom Hammer","BIGBLUNT_M","C"
"192","Crystal Staff","BIGBLUNT_M","C"
"193","Stick of Faith","BLUNT_M","C"
"194","Heavy Doom Axe","BIGBLUNT_M","C"
"195","Cursed Staff","BIGBLUNT_M","C"
"196","Stick of Eternity","BLUNT_M","C"
"197","Paradia Staff","BIGBLUNT_M","C"
"198","Inferno Staff","BIGBLUNT_M","C"
"199","Pa'agrian Hammer","BIGBLUNT_M","C"
"200","Sage's Staff","BIGBLUNT_M","C"
"201","Club of Nature","BLUNT_M","C"
"202","Mace of The Underworld","BLUNT_M","C"
"203","Pa'agrian Axe","BIGBLUNT_M","C"
"204","Deadman's Staff","BIGBLUNT_M","C"
"205","Ghoul's Staff","BIGBLUNT_M","C"
"206","Demon's Staff","BIGBLUNT_M","C"
"207","Staff of Phantom","BIGBLUNT_M","B"
"208","Staff of Seal","BIGBLUNT_M","B"
"209","Divine Staff","BIGBLUNT_M","B"
"210","Staff of Evil Spirits","BIGBLUNT_M","B"
"211","Staff of Nobility","BIGBLUNT_M","B"
"212","Dasparion's Staff","BIGBLUNT_M","A"
"213","Branch of The Mother Tree","BIGBLUNT_M","A"
"214","The Staff","BIGBLUNT_M","S"
"215","Doom Dagger","DAGGER_P","NG"
"216","Dirk","DAGGER_P","NG"
"217","Shining Knife","DAGGER_P","NG"
"218","Throwing Knife","DAGGER_P","NG"
"219","Sword Breaker","DAGGER_P","NG"
"220","Crafted Dagger","DAGGER_P","D"
"221","Assassin Knife","DAGGER_P","D"
"222","Poniard Dagger","DAGGER_P","D"
"223","Kukuri","DAGGER_P","D"
"224","Maingauche","DAGGER_P","D"
"225","Mithril Dagger","DAGGER_P","D"
"226","Cursed Dagger","DAGGER_P","C"
"227","Stiletto","DAGGER_P","C"
"228","Crystal Dagger","DAGGER_P","C"
"229","Kris","DAGGER_P","B"
"230","Wolverine Needle","DAGGER_P","C"
"231","Grace Dagger","DAGGER_P","C"
"232","Dark Elven Dagger","DAGGER_P","C"
"233","Dark Screamer","DAGGER_P","C"
"234","Demon Dagger","DAGGER_P","B"
"235","Bloody Orchid","DAGGER_P","A"
"236","Soul Separator","DAGGER_P","A"
"237","Dragon's Tooth","DAGGER_P","S"
"238","Dagger of Mana","DAGGER_M","D"
"239","Mystic Knife","DAGGER_M","D"
"240","Conjurer's Knife","DAGGER_M","D"
"241","Shilen Knife","DAGGER_M","D"
"242","Soulfire Dirk","DAGGER_M","C"
"243","Hell Knife","DAGGER_M","B"
"253","Spiked Gloves","DUALFIST","NG"
"254","Iron Gloves","DUALFIST","NG"
"255","Fox Claw Gloves","DUALFIST","NG"
"256","Cestus","DUALFIST","NG"
"257","Viper's Fang","DUALFIST","NG"
"258","Bagh-Nakh","DUALFIST","D"
"259","Single-Edged Jamadhr","DUALFIST","D"
"260","Triple-Edged Jamadhr","DUALFIST","D"
"261","Bich'Hwa","DUALFIST","D"
"262","Scallop Jamadhr","DUALFIST","D"
"263","Chakram","DUALFIST","C"
"264","Pata","DUALFIST","B"
"265","Fisted Blade","DUALFIST","C"
"266","Great Pata","DUALFIST","C"
"267","Arthro Nail","DUALFIST","B"
"268","Bellion Cestus","DUALFIST","B"
"269","Blood Tornado","DUALFIST","A"
"270","Dragon Grinder","DUALFIST","A"
"271","Hunting Bow","BOW","NG"
"272","Forest Bow","BOW","NG"
"273","Composition Bow","BOW","NG"
"274","Strengthened Bow","BOW","D"
"275","Long Bow","BOW","D"
"276","Elven Bow","BOW","D"
"277","Dark Elven Bow","BOW","D"
"278","Gastraphetes","BOW","D"
"279","Strengthened Long Bow","BOW","D"
"280","Light Crossbow","BOW","D"
"281","Crystallized Ice Bow","BOW","C"
"282","Elemental Bow","BOW","C"
"283","Akat Long Bow","BOW","C"
"284","Dark Elven Long Bow","BOW","B"
"285","Noble Elven Bow","BOW","C"
"286","Eminence Bow","BOW","C"
"287","Bow of Peril","BOW","B"
"288","Carnage Bow","BOW","A"
"289","Soul Bow","BOW","A"
"290","The Bow","BOW","S"
"291","Trident","POLE","D"
"292","Pike","POLE","D"
"293","War Hammer","POLE","D"
"294","War Pick","POLE","D"
"295","Dwarven Trident","POLE","D"
"296","Dwarven Pike","POLE","D"
"297","Glaive","POLE","D"
"298","Orcish Glaive","POLE","C"
"299","Orcish Poleaxe","POLE","C"
"300","Great Axe","POLE","B"
"301","Scorpion","POLE","C"
"302","Body Slasher","POLE","C"
"303","Widow Maker","POLE","C"
"304","Orcish Halberd","POLE","A"
"305","Tallum Glaive","POLE","A"
"306","Dragon Claw Axe","POLE","S"
"307","Aurakyria Lance","POLE","S"
"308","Buffalo's Horn","ETC_M","NG"
"309","Tears of Eva","ETC_M","NG"
"310","Relic of The Saints","ETC_M","NG"
"311","Crucifix of Blessing","ETC_M","NG"
"312","Branch of Life","ETC_M","D"
"313","Temptation of Abyss","ETC_M","D"
"314","Proof of Revenge","ETC_M","D"
"315","Divine Tome","ETC_M","D"
"316","Blood of Saints","ETC_M","D"
"317","Tome of Blood","ETC_M","D"
"318","Crucifix of Blood","ETC_M","D"
"319","Eye of Infinity","ETC_M","D"
"320","Blue Crystal Skull","ETC_M","D"
"321","Demon Fangs","ETC_M","D"
"322","Vajra Wands","ETC_M","D"
"323","Ancient Reagent","ETC_M","D"
"324","Tears of Fairy","ETC_M","C"
"325","Horn of Glory","ETC_M","C"
"326","Heathen's Book","ETC_M","C"
"327","Hex Doll","ETC_M","C"
"328","Candle of Wisdom","ETC_M","C"
"329","Blessed Branch","ETC_M","C"
"330","Phoenix Feather","ETC_M","C"
"331","Cerberus Eye","ETC_M","C"
"332","Scroll of Destruction","ETC_M","C"
"333","Claws of Black Dragon","ETC_M","C"
"334","Three Eyed Crow's Feather","ETC_M","C"
"335","Soul Crystal","ETC_M","B"
"336","Scroll of Mana","ETC_M","B"
"337","Scroll of Massacre","ETC_M","B"
"338","Wyvern's Skull","ETC_M","B"
"339","Blood Crystal","ETC_M","B"
"340","Unicorn's Horn","ETC_M","B"
"341","Forgotten Tome","ETC_M","A"
"342","Enchanted Flute","ETC_M","A"
"343","Headless Arrow","ETC_M","A"
"344","Proof of Overlord","ETC_M","A"
"345","Deathbringer Sword","ETC_M","A"
"346","Tears of Fallen Angel","ETC_M","S"
"738","Sword of Solidarity","SWORD_P","NG"
"743","Sword of Sentinel","SWORD_P","NG"
"744","Staff of Sentinel","BIGBLUNT_M","NG"
"747","Wand of Adept","BLUNT_M","NG"
"749","0","BIGBLUNT_P","D"
"754","Red Sunset Staff","BIGBLUNT_M","NG"
"946","Skeleton Dagger","DAGGER_P","NG"
"975","Blood Saber","SWORD_P","NG"
"981","Red Sunset Sword","BIGSWORD","NG"
"989","Eldritch Dagger","DAGGER_P","NG"
"1142","Rusted Bronze Sword","SWORD_P","NG"
"1181","Neti's Bow","BOW","NG"
"1182","Neti's Dagger","DAGGER_P","NG"
"1213","Guard's Bow","BOW","NG"
"1295","Long Sword","SWORD_P","NG"
"1296","Gladius","SWORD_P","NG"
"1297","Bastard Sword","SWORD_P","NG"
"1298","Caliburs","SWORD_P","NG"
"1299","Great Sword","DUAL","NG"
"1300","Apprentice's Rod","BLUNT_P","NG"
"1301","Big Hammer","BLUNT_P","NG"
"1302","Bec de Corbin","POLE","NG"
"1303","Lance","POLE","NG"
"1304","Conjuror's Staff","BIGBLUNT_P","NG"
"1305","Knife","DAGGER_P","NG"
"1306","Crafted Dagger","DAGGER_P","NG"
"1307","Bow","BOW","NG"
"1333","Brandish","BIGSWORD","NG"
"1376","Guard Spear","POLE","D"
"1471","Silenos Blowgun","DAGGER_P","D"
"1472","Dreadbane","POLE","D"
"1510","Butcher's Sword","SWORD_P","NG"
"1511","Silversmith Hammer","BLUNT_P","NG"
"1660","Cursed Maingauche","DAGGER_P","D"
"2368","Training Gloves","DUALFIST","NG"
"2369","Squire's Sword","SWORD_P","NG"
"2370","Guild Member's Club","BLUNT_P","NG"
"2371","Fist of Butcher","DUALFIST","NG"
"2372","Dagger of Adept","DAGGER_P","NG"
"2373","Eldritch Staff","BIGBLUNT_M","NG"
"2374","Red Sunset Dagger","DAGGER_P","NG"
"2499","Elven Long Sword","SWORD_P","D"
"2500","Dark Legion's Edge","SWORD_P","A"
"2501","Bone Club","BLUNT_P","NG"
"2502","Dwarven War Hammer","BLUNT_P","C"
"2503","Yaksa Mace","BLUNT_P","C"
"2504","Meteor Shower","BLUNT_P","A"
"2516","Saber*Saber","DUAL","D"
"2517","Saber*Bastard Sword","DUAL","D"
"2518","Saber*Spinebone Sword","DUAL","D"
"2519","Saber*Artisan's Sword","DUAL","D"
"2520","Saber*Knight's Sword","DUAL","D"
"2521","Saber*Crimson Sword","DUAL","D"
"2522","Saber*Elven Sword","DUAL","D"
"2523","Saber*Sword of Revolution","DUAL","C"
"2524","Saber*Elven Long Sword","DUAL","C"
"2525","Bastard Sword*Bastard Sword","DUAL","D"
"2526","Bastard Sword*Spinebone Sword","DUAL","D"
"2527","Bastard Sword*Artisan's Sword","DUAL","D"
"2528","Bastard Sword*Knight's Sword","DUAL","D"
"2529","Bastard Sword*Crimson Sword","DUAL","D"
"2530","Bastard Sword*Elven Sword","DUAL","D"
"2531","Bastard Sword*Sword of Revolution","DUAL","C"
"2532","Bastard Sword*Elven Long Sword","DUAL","C"
"2533","Spinebone Sword*Spinebone Sword","DUAL","D"
"2534","Spinebone Sword*Artisan's Sword","DUAL","D"
"2535","Spinebone Sword*Knight's Sword","DUAL","D"
"2536","Spinebone Sword*Crimson Sword","DUAL","D"
"2537","Spinebone Sword*Elven Sword","DUAL","D"
"2538","Spinebone Sword*Sword of Revolution","DUAL","C"
"2539","Spinebone Sword*Elven Long Sword","DUAL","C"
"2540","Artisan's Sword*Artisan's Sword","DUAL","D"
"2541","Artisan's Sword*Knight's Sword","DUAL","D"
"2542","Artisan's Sword*Crimson Sword","DUAL","D"
"2543","Artisan's Sword*Elven Sword","DUAL","D"
"2544","Artisan's Sword*Sword of Revolution","DUAL","C"
"2545","Artisan's Sword*Elven Long Sword","DUAL","C"
"2546","Knight's Sword*Knight's Sword","DUAL","D"
"2547","Knight's Sword*Crimson Sword","DUAL","D"
"2548","Knight's Sword*Elven Sword","DUAL","D"
"2549","Knight's Sword*Sword of Revolution","DUAL","C"
"2550","Knight's Sword*Elven Long Sword","DUAL","C"
"2551","Crimson Sword*Crimson Sword","DUAL","C"
"2552","Crimson Sword*Elven Sword","DUAL","C"
"2553","Crimson Sword*Sword of Revolution","DUAL","C"
"2554","Crimson Sword*Elven Long Sword","DUAL","C"
"2555","Elven Sword*Elven Sword","DUAL","C"
"2556","Elven Sword*Sword of Revolution","DUAL","C"
"2557","Elven Sword*Elven Long Sword","DUAL","C"
"2558","Sword of Revolution*Sword of Revolution","DUAL","C"
"2559","Sword of Revolution*Elven Long Sword","DUAL","C"
"2560","Elven Long Sword*Elven Long Sword","DUAL","C"
"2561","Stormbringer*Stormbringer","DUAL","C"
"2562","Stormbringer*Shamshir","DUAL","C"
"2563","Stormbringer*Katana","DUAL","C"
"2564","Stormbringer*Spirit Sword","DUAL","C"
"2565","Stormbringer*Raid Sword","DUAL","C"
"2566","Stormbringer*Caliburs","DUAL","B"
"2567","Stormbringer*Sword of Limit","DUAL","B"
"2568","Stormbringer*Sword of Delusion","DUAL","B"
"2569","Stormbringer*Sword of Nightmare","DUAL","B"
"2570","Stormbringer*Tsurugi","DUAL","B"
"2571","Stormbringer*Samurai Long sword","DUAL","B"
"2572","Shamshir*Shamshir","DUAL","C"
"2573","Shamshir*Katana","DUAL","C"
"2574","Shamshir*Spirit Sword","DUAL","C"
"2575","Shamshir*Raid Sword","DUAL","C"
"2576","Shamshir*Caliburs","DUAL","B"
"2577","Shamshir*Sword of Limit","DUAL","B"
"2578","Shamshir*Sword of Delusion","DUAL","B"
"2579","Shamshir*Sword of Nightmare","DUAL","B"
"2580","Shamshir*Tsurugi","DUAL","B"
"2581","Shamshir*Samurai Long Sword","DUAL","B"
"2582","Katana*Katana","DUAL","C"
"2583","Katana*Spirit Sword","DUAL","C"
"2584","Katana*Raid Sword","DUAL","C"
"2585","Katana*Caliburs","DUAL","B"
"2586","Katana*Sword of Limit","DUAL","B"
"2587","Katana*Sword of Delusion","DUAL","B"
"2588","Katana*Sword of Nightmare","DUAL","B"
"2589","Katana*Tsurugi","DUAL","B"
"2590","Katana*Samurai Long Sword","DUAL","B"
"2591","Spirit Sword*Spirit Sword","DUAL","C"
"2592","Spirit Sword*Raid Sword","DUAL","C"
"2593","Spirit Sword*Caliburs","DUAL","B"
"2594","Spirit Sword*Sword of Limit","DUAL","B"
"2595","Spirit Sword*Sword of Delusion","DUAL","B"
"2596","Spirit Sword*Sword of Nightmare","DUAL","B"
"2597","Spirit Sword*Tsurugi","DUAL","B"
"2598","Spirit Sword*Samurai Long Sword","DUAL","B"
"2599","Raid Sword*Raid Sword","DUAL","C"
"2600","Raid Sword*Caliburs","DUAL","B"
"2601","Raid Sword*Sword of Limit","DUAL","B"
"2602","Raid Sword*Sword of Delusion","DUAL","B"
"2603","Raid Sword*Sword of Nightmare","DUAL","B"
"2604","Raid Sword*Tsurugi","DUAL","B"
"2605","Raid Sword*Samurai Long Sword","DUAL","B"
"2606","Caliburs*Caliburs","DUAL","B"
"2607","Caliburs*Sword of Limit","DUAL","B"
"2608","Caliburs*Sword of Delusion","DUAL","B"
"2609","Caliburs*Sword of Nightmare","DUAL","B"
"2610","Caliburs*Tsurugi","DUAL","B"
"2611","Caliburs*Samurai Long Sword","DUAL","B"
"2612","Sword of Limit*Sword of Limit","DUAL","B"
"2613","Sword of Limit*Sword of Delusion","DUAL","B"
"2614","Sword of Limit*Sword of Nightmare","DUAL","B"
"2615","Sword of Limit*Tsurugi","DUAL","B"
"2616","Sword of Limit*Samurai Long Sword","DUAL","B"
"2617","Sword of Delusion*Sword of Delusion","DUAL","B"
"2618","Sword of Delusion*Sword of Nightmare","DUAL","B"
"2619","Sword of Delusion*Tsurugi","DUAL","B"
"2620","Sword of Delusion*Samurai Long Sword","DUAL","B"
"2621","Sword of Nightmare*Sword of Nightmare","DUAL","B"
"2622","Sword of Nightmare*Tsurugi","DUAL","B"
"2623","Sword of Nightmare*Samurai Long Sword","DUAL","B"
"2624","Tsurugi*Tsurugi","DUAL","B"
"2625","Tsurugi*Samurai Long Sword","DUAL","B"
"2626","Samurai Long Sword*Samurai Long Sword","DUAL","B"
"2915","Old Knight Sword","SWORD_P","NG"
"3026","Talins Spear","POLE","NG"
"3027","Old Knight's Sword","BIGSWORD","NG"
"3028","Crescent Moon Bow","BOW","NG"
"3029","Sword of Binding","SWORD_P","NG"
"3471","Cybellin's Dagger","DAGGER_P","NG"
"3937","Giant Bar","POLE","D"
"3938","Giant Rod","POLE","D"
"3939","Lady's Fan","POLE","D"
"4027","Bouquet","SWORD_P","NG"
"4028","Giant Cannon","DAGGER_P","D"
"4202","Chrono Cithara","SWORD_P","NG"
"4233","Knuckle Duster","DUALFIST","C"
"4665","Pipette Knife","DAGGER_P","NG"
"4700","Sword of Delusion - Health","SWORD_P","C"
"4900","Staff of Evil Spirits - Magic Focus","BIGBLUNT_M","B"
"4903","Dasparion's Staff","BIGBLUNT_M","A"
"4904","Dasparion's Staff","BIGBLUNT_M","A"
"4905","Dasparion's Staff","BIGBLUNT_M","A"
"5127","Dailaon Knife","DAGGER_P","D"
"5128","Crokian Blade","DAGGER_P","D"
"5129","Doll Knife","DUAL","D"
"5130","Nos Sword","DAGGER_P","D"
"5131","Parhit Staff","DAGGER_P","D"
"5132","Giant Trident","DAGGER_P","D"
"5133","Chrono Unitus","DUALFIST","NG"
"5233","Keshanberk*Keshanberk","DUAL","A"
"5284","Zweihander","BIGSWORD","NG"
"5285","Heavy Sword","BIGSWORD","D"
"5286","Berserker Blade","BIGSWORD","C"
"5629","Orcish Halberd","POLE","A"
"5630","Orcish Halberd","POLE","A"
"5631","Orcish Halberd","POLE","A"
"5704","Keshanberk*Keshanberk","DUAL","A"
"5705","Keshanberk*Damascus","DUAL","A"
"5706","Damascus*Damascus","DUAL","A"
"5791","Tomb Guard A","BIGSWORD","D"
"5792","Tomb Guard B","BIGSWORD","D"
"5793","Tomb Savant A","SWORD_P","C"
"5794","Tomb Savant B","SWORD_P","C"
"5795","Tomb Guard A","BIGSWORD","D"
"5796","Tomb Guard B","BIGSWORD","D"
"5797","Tomb Savant A","SWORD_P","C"
"5798","Tomb Savant B","SWORD_P","C"
"5800","Nephilim Lord","SWORD_P","C"
"5801","Dusk","SWORD_P","C"
"5802","Dawn","SWORD_P","C"
"5817","Chrono Campana","POLE","NG"
"6354","Falchion - for Beginners","SWORD_P","NG"
"6355","Mage Staff - for Beginners","BIGBLUNT_M","NG"
"6364","Forgotten Blade","SWORD_P","S"
"6365","Basalt Battlehammer","BLUNT_P","S"
"6366","Imperial Staff","BIGBLUNT_M","S"
"6367","Angel Slayer","DAGGER_P","S"
"6368","Shining Bow","BOW","S"
"6369","Dragon Hunter Axe","BIGBLUNT_P","S"
"6370","Saint Spear","POLE","S"
"6371","Demon Splinter","DUALFIST","S"
"6372","Heaven's Divider","BIGSWORD","S"
"6579","Arcana Mace","BLUNT_M","S"
"6580","Tallum Blade*Dark Legion's Edge","DUAL","S"
"6611","Infinity Blade","SWORD_P","S"
"6612","Infinity Cleaver","BIGSWORD","S"
"6613","Infinity Axe","BLUNT_P","S"
"6614","Infinity Rod","BLUNT_M","S"
"6615","Infinity Crusher","BIGBLUNT_P","S"
"6616","Infinity Scepter","BIGBLUNT_M","S"
"6617","Infinity Stinger","DAGGER_P","S"
"6618","Infinity Fang","DUALFIST","S"
"6619","Infinity Bow","BOW","S"
"6620","Infinity Wing","DUAL","S"
"6621","Infinity Spear","POLE","S"
"7058","Chrono Darbuka","BIGBLUNT_P","NG"
"7575","Draconic Bow","BOW","S"
"7816","Apprentice Adventurer's Staff","BIGBLUNT_M","NG"
"7817","Apprentice Adventurer's Bone Club","BLUNT_P","NG"
"7818","Apprentice Adventurer's Knife","DAGGER_P","NG"
"7819","Apprentice Adventurer's Cestus","DUALFIST","NG"
"7820","Apprentice Adventurer's Bow","BOW","NG"
"7821","Apprentice Adventurer's Long Sword","SWORD_P","NG"
"7822","Traveler's Mace","BLUNT_M","D"
"7823","Traveler's Dark Elven Bow","BOW","D"
"7824","Traveler's Long Bow","BOW","D"
"7825","Traveler's Staff","BIGBLUNT_M","D"
"7826","Traveler's Bastard Sword","SWORD_P","D"
"7827","Traveler's Wand","ETC_M","D"
"7828","Traveler's Jamadhr","DUALFIST","D"
"7829","Traveler's Tomahawk","BLUNT_P","D"
"7830","Traveler's Poniard Dagger","DAGGER_P","D"
"7831","Traveler's Pike","POLE","D"
"7834","Art of Battle Axe","BLUNT_P","B"
"7880","Steel Sword","BIGSWORD","D"
"7881","Titan Sword","BIGSWORD","D"
"7882","Pa'agrian Sword","BIGSWORD","C"
"7883","Guardian Sword","BIGSWORD","B"
"7884","Infernal Master","BIGSWORD","A"
"7885","Priest Sword","SWORD_M","D"
"7886","Sword of Magic Fog","SWORD_M","D"
"7887","Mysterious Sword","SWORD_M","C"
"7888","Ecliptic Sword","SWORD_M","C"
"7889","Wizard's Tear","SWORD_M","B"
"7890","Priest Mace","BLUNT_M","D"
"7891","Ecliptic Axe","BLUNT_M","C"
"7892","Spell Breaker","BLUNT_M","B"
"7893","Kaim Vanul's Bones","BLUNT_M","B"
"7894","Spiritual Eye","BLUNT_M","A"
"7895","Flaming Dragon Skull","BLUNT_M","A"
"7896","Titan Hammer","BIGBLUNT_P","D"
"7897","Dwarven Hammer","BIGBLUNT_P","C"
"7898","Karik Horn","BIGBLUNT_P","C"
"7899","Destroyer Hammer","BIGBLUNT_P","A"
"7900","Ice Storm Hammer","BIGBLUNT_P","B"
"7901","Star Buster","BIGBLUNT_P","B"
"7902","Doom Crusher","BIGBLUNT_P","A"
"7903","Frintezza's Sword","BIGSWORD","NG"
"8350","Chrono Maracas","DUAL","NG"
"8527","For Monsters Only (Strengthened Bow)","BOW","D"
"8528","For Monsters Only (Doom Hammer)","BLUNT_M","D"
"8529","For Monsters Only (Knife)","DAGGER_P","NG"
"8530","For Monsters Only (Squire's Sword)","SWORD_P","NG"
"8531","For Monsters Only (Bone Staff)","BIGBLUNT_M","D"
"8532","For Monsters Only (Spinebone Sword)","SWORD_P","D"
"8533","For Monsters Only (Crimson Sword)","SWORD_P","D"
"8678","Sirra's Blade","SWORD_P","A"
"8679","Sword of Ipos","BIGSWORD","A"
"8680","Barakiel's Axe","BLUNT_P","A"
"8681","Behemoth's Tuning Fork","BIGBLUNT_P","A"
"8682","Naga Storm","DAGGER_P","A"
"8683","Tiphon's Spear","POLE","A"
"8684","Shyeed's Bow","BOW","A"
"8685","Sobekk's Hurricane","DUALFIST","A"
"8686","Themis' Tongue","SWORD_M","A"
"8687","Cabrio's Hand","BLUNT_M","A"
"8688","Daimon Crystal","BIGBLUNT_M","A"
"8938","Damascus * Tallum Blade","DUAL","A"
"9136","Sword of Valakas (1-Handed)","SWORD_P","C"
"9137","Sword of Valakas (2-Handed)","BIGSWORD","D"
"9140","Salvation Bow","BOW","NG"
